Chapter 32: Historical Tendency of Capitalist Accumulation	7. Geschichtliche Tendenz der kapitalistischen Akkumulation	0.288679
	 ~~~ <789> Worauf kommt die ursprüngliche Akkumulation des Kapitals, d.h. seine historische Genesis, hinaus? Soweit sie nicht unmittelbare Verwandlung von Sklaven und Leibeignen in Lohnarbeiter, also bloßer Formwechsel ist, bedeutet sie nur die Expropriation der unmittelbaren Produzenten, d.h. die Auflösung des auf eigner Arbeit beruhenden Privateigentums.	-0.3
	 ~~~ Privateigentum, als Gegensatz zum gesellschaftlichen, kollektiven Eigentum, besteht nur da, wo die Arbeitsmittel und die äußeren Bedingungen der Arbeit Privatleuten gehören. Je nachdem aber diese Privatleute die Arbeiter oder die Nichtarbeiter sind, hat auch das Privateigentum einen andern Charakter. Die unendlichen Schattierungen, die es auf den ersten Blick darbietet, spiegeln nur die zwischen diesen beiden Extremen liegenden Zwischenzustände wider.	-0.3
	 ~~~ Das Privateigentum des Arbeiters an seinen Produktionsmitteln ist die Grundlage des Kleinbetriebs, der Kleinbetrieb eine notwendige Bedingung für die Entwicklung der gesellschaftlichen Produktion und der freien Individualität des Arbeiters selbst. Allerdings existiert diese Produktionsweise auch innerhalb der Sklaverei, Leibeigenschaft und andrer Abhängigkeitsverhältnisse. Aber sie blüht nur, schnellt nur ihre ganze Energie, erobert nur die adäquate klassische Form, wo der Arbeiter freier Privateigentümer seiner von ihm selbst gehandhabten Arbeitsbedingungen ist, der Bauer des Ackers, den er bestellt, der Handwerker des Instruments, worauf er als Virtuose spielt.	-0.3
What does the primitive accumulation of capital, i.e., its historical genesis, resolve itself into? In so far as it is not immediate transformation of slaves and serfs into wage labourers, and therefore a mere change of form, it only means the expropriation of the immediate producers, i.e., the dissolution of private property based on the labour of its owner. Private property, as the antithesis to social, collective property, exists only where the means of labour and the external conditions of labour belong to private individuals. But according as these private individuals are labourers or not labourers, private property has a different character. The numberless shades, that it at first sight presents, correspond to the intermediate stages lying between these two extremes. The private property of the labourer in his means of production is the foundation of petty industry, whether agricultural, manufacturing, or both; petty industry, again, is an essential condition for the development of social production and of the free individuality of the labourer himself. Of course, this petty mode of production exists also under slavery, serfdom, and other states of dependence. But it flourishes, it lets loose its whole energy, it attains its adequate classical form, only where the labourer is the private owner of his own means of labour set in action by himself: the peasant of the land which he cultivates, the artisan of the tool which he handles as a virtuoso. This mode of production presupposes parcelling of the soil and scattering of the other means of production. As it excludes the concentration of these means of production, so also it excludes co-operation, division of labour within each separate process of production, the control over, and the productive application of the forces of Nature by society, and the free development of the social productive powers. It is compatible only with a system of production, and a society, moving within narrow and more or less primitive bounds. To perpetuate it would be, as Pecqueur rightly says, “to decree universal mediocrity". At a certain stage of development, it brings forth the material agencies for its own dissolution. From that moment new forces and new passions spring up in the bosom of society; but the old social organisation fetters them and keeps them down. It must be annihilated; it is annihilated. Its annihilation, the transformation of the individualised and scattered means of production into socially concentrated ones, of the pigmy property of the many into the huge property of the few, the expropriation of the great mass of the people from the soil, from the means of subsistence, and from the means of labour, this fearful and painful expropriation of the mass of the people forms the prelude to the history of capital. It comprises a series of forcible methods, of which we have passed in review only those that have been epoch-making as methods of the primitive accumulation of capital. The expropriation of the immediate producers was accomplished with merciless Vandalism, and under the stimulus of passions the most infamous, the most sordid, the pettiest, the most meanly odious. Self-earned private property, that is based, so to say, on the fusing together of the isolated, independent labouring individual with the conditions of his labour, is supplanted by capitalistic private property, which rests on exploitation of the nominally free labour of others, i.e., on wage labour.1		-0.6
As soon as this process of transformation has sufficiently decomposed the old society from top to bottom, as soon as the labourers are turned into proletarians, their means of labour into capital, as soon as the capitalist mode of production stands on its own feet, then the further socialisation of labour and further transformation of the land and other means of production into socially exploited and, therefore, common means of production, as well as the further expropriation of private proprietors, takes a new form. That which is now to be expropriated is no longer the labourer working for himself, but the capitalist exploiting many labourers. This expropriation is accomplished by the action of the immanent laws of capitalistic production itself, by the centralisation of capital. One capitalist always kills many. Hand in hand with this centralisation, or this expropriation of many capitalists by few, develop, on an ever-extending scale, the co-operative form of the labour process, the conscious technical application of science, the methodical cultivation of the soil, the transformation of the instruments of labour into instruments of labour only usable in common, the economising of all means of production by their use as means of production of combined, socialised labour, the entanglement of all peoples in the net of the world market, and with this, the international character of the capitalistic regime. Along with the constantly diminishing number of the magnates of capital, who usurp and monopolise all advantages of this process of transformation, grows the mass of misery, oppression, slavery, degradation, exploitation; but with this too grows the revolt of the working class, a class always increasing in numbers, and disciplined, united, organised by the very mechanism of the process of capitalist production itself. The monopoly of capital becomes a fetter upon the mode of production, which has sprung up and flourished along with, and under it. Centralisation of the means of production and socialisation of labour at last reach a point where they become incompatible with their capitalist integument. This integument is burst asunder. The knell of capitalist private property sounds. The expropriators are expropriated.	Diese Produktionsweise unterstellt Zersplitterung des Bodens und der übrigen Produktionsmittel. Wie die Konzentration der letztren, so schließt sie auch die Kooperation, Teilung der Arbeit innerhalb derselben Produktionsprozesse, gesellschaftliche Beherrschung und Reglung der Natur, freie Entwicklung der gesellschaftlichen Produktivkräfte aus. Sie ist nur verträglich mit engen naturwüchsigen Schranken der Produktion und der Gesellschaft. Sie verewigen wollen hieße, wie Pecqueur mit Recht sagt, "die allgemeine Mittelmäßigkeit dekretieren". Auf einem gewissen Höhegrad bringt sie die materiellen Mittel ihrer eignen Vernichtung zur Welt. Von diesem Augenblick regen sich Kräfte und Leidenschaften im Gesellschaftsschoße, welche sich von ihr gefesselt fühlen. Sie muß vernichtet werden, sie wird vernichtet. Ihre Vernichtung, die Verwandlung der individuellen und zersplitterten Produktionsmittel in gesellschaftlich konzentrierte, daher des zwerghaften Eigentums vieler in das massenhafte Eigentum weniger, daher die Expropriation der großen Volksmasse von Grund und Boden und <790> Lebensmitteln und Arbeitsinstrumenten, diese furchtbare und schwierige Expropriation der Volksmasse bildet die Vorgeschichte des Kapitals. Sie umfaßt eine Reihe gewaltsamer Methoden, wovon wir nur die epochemachenden als Methoden der ursprünglichen Akkumulation des Kapitals Revue passieren ließen. Die Expropriation der unmittelbaren Produzenten wird mit schonungslosestem Vandalismus und unter dem Trieb der infamsten, schmutzigsten, kleinlichst gehässigsten Leidenschaften vollbracht. Das selbsterarbeitete, sozusagen auf Verwachsung des einzelnen, unabhängigen Arbeitsindividuums mit seinen Arbeitsbedingungen beruhende Privateigentum wird verdrängt durch das kapitalistische Privateigentum, welches auf Exploitation fremder, aber formell freier Arbeit beruht.(251) ~~~ 	-0.00947985
The capitalist mode of appropriation, the result of the capitalist mode of production, produces capitalist private property. This is the first negation of individual private property, as founded on the labour of the proprietor. But capitalist production begets, with the inexorability of a law of Nature, its own negation. It is the negation of negation. This does not re-establish private property for the producer, but gives him individual property based on the acquisition of the capitalist era: i.e., on co-operation and the possession in common of the land and of the means of production.	Sobald dieser Umwandlungsprozeß nach Tiefe und Umfang die alte Gesellschaft hinreichend zersetzt hat, sobald die Arbeiter in Proletarier, ihre Arbeitsbedingungen in Kapital verwandelt sind, sobald die kapitalistische Produktionsweise auf eignen Füßen steht, gewinnt die weitere Vergesellschaftung der Arbeit und weitere Verwandlung der Erde und andrer Produktionsmittel in gesellschaftlich ausgebeutete, also gemeinschaftliche Produktionsmittel, daher die weitere Expropriation der Privateigentümer, eine neue Form. Was jetzt zu expropriieren, ist nicht länger der selbstwirtschaftende Arbeiter, sondern der viele Arbeiter exploitierende Kapitalist.	0.291755
	 ~~~ Diese Expropriation vollzieht sich durch das Spiel der immanenten Gesetze der kapitalistischen Produktion selbst, durch die Zentralisation der Kapitale. Je ein Kapitalist schlägt viele tot. Hand in Hand mit dieser Zentralisation oder der Expropriation vieler Kapitalisten durch wenige entwickelt sich die kooperative Form des Arbeitsprozesses auf stets wachsender Stufenleiter, die bewußte technische Anwendung der Wissenschaft, die planmäßige Ausbeutung der Erde, die Verwandlung der Arbeitsmittel in nur gemeinsam verwendbare Arbeitsmittel, die Ökonomisierung aller Produktionsmittel durch ihren Gebrauch als Produktionsmittel kombinierter, gesellschaftlicher Arbeit, die Verschlingung aller Völker in das Netz des Weltmarkts und damit der internationale Charakter des kapitalistischen Regimes. Mit der beständig abnehmenden Zahl der Kapitalmagnaten, welche alle Vorteile dieses Umwandlungsprozesses usurpieren und monopolisieren, wächst die Masse des Elends, des Drucks, der Knechtschaft, der Entartung, der Ausbeutung, aber auch die Empörung der stets anschwellen- <791> den und durch den Mechanismus des kapitalistischen Produktionsprozesses selbst geschulten, vereinten und organisierten Arbeiterklasse. Das Kapitalmonopol wird zur Fessel der Produktionsweise, die mit und unter ihm aufgeblüht ist. Die Zentralisation der Produktionsmittel und die Vergesellschaftung der Arbeit erreichen einen Punkt, wo sie unverträglich werden mit ihrer kapitalistischen Hülle. Sie wird gesprengt. Die Stunde des kapitalistischen Privateigentums schlägt. Die Expropriateurs werden expropriiert. ~~~ 	-0.3
The transformation of scattered private property, arising from individual labour, into capitalist private property is, naturally, a process, incomparably more protracted, violent, and difficult, than the transformation of capitalistic private property, already practically resting on socialised production, into socialised property. In the former case, we had the expropriation of the mass of the people by a few usurpers; in the latter, we have the expropriation of a few usurpers by the mass of the people.	Die aus der kapitalistischen Produktionsweise hervorgehende kapitalistische Aneignungsweise, daher das kapitalistische Privateigentum, ist die erste Negation des individuellen, auf eigne Arbeit gegründeten Privateigentums. Aber die kapitalistische Produktion erzeugt mit der Notwendigkeit eines Naturprozesses ihre eigne Negation. Es ist Negation der Negation. Diese stellt nicht das Privateigentum wieder her, wohl aber das individuelle Eigentum auf Grundlage der Errungenschaft der kapitalistischen Ära: der Kooperation und des Gemeinbesitzes der Erde und der durch die Arbeit selbst produzierten Produktionsmittel.	0.223448
		0.3
	Die Verwandlung des auf eigner Arbeit der Individuen beruhenden, zersplitterten Privateigentums in kapitalistisches ist natürlich ein Prozeß, ungleich mehr langwierig, hart und schwierig als die Verwandlung des tatsächlich bereits auf gesellschaftlichem Produktionsbetrieb beruhenden kapitalistischen Eigentums in gesellschaftliches. Dort handelte es sich um die Expropriation der Volksmasse durch wenige Usurpatoren, hier handelt es sich um die Expropriation weniger Usurpatoren durch die Volksmasse.(252)	-0.3
