Avis juridique important	Fontos jogi nyilatkozat	31996L0034_en-hu
31996L0034	31996L0034	31996L0034_en-hu
Council Directive 96/34/EC of 3 June 1996 on the framework agreement on parental leave concluded by UNICE, CEEP and the ETUC Official Journal L 145 , 19/06/1996 P. 0004 - 0009	Hivatalos Lap L 145 , 19/06/1996 o. 0004 - 0009 A Tanács 96/34/EK irányelve (1996. június 3.)	31996L0034_en-hu
COUNCIL DIRECTIVE 96/34/EC of 3 June 1996 on the framework agreement on parental leave concluded by UNICE, CEEP and the ETUC	az UNICE, a CEEP és az ESZSZ által a szülői szabadságról kötött keretmegállapodásról	31996L0034_en-hu
THE COUNCIL OF THE EUROPEAN UNION,	AZ EURÓPAI UNIÓ TANÁCSA,	31996L0034_en-hu
Having regard to the Agreement on social policy, annexed to the Protocol (No 14) on social policy, annexed to the Treaty establishing the European Community, and in particular Article 4 (2) thereof,	tekintettel az Európai Közösséget létrehozó szerződés mellékletét képező, a szociálpolitikáról szóló (14.) jegyzőkönyv mellékletében szereplő, a szociálpolitikáról szóló megállapodásra, és különösen annak 4. cikke (2) bekezdésére,	31996L0034_en-hu
Having regard to the proposal from the Commission,	tekintettel a Bizottság javaslatára,	31996L0034_en-hu
(1) Whereas on the basis of the Protocol on social policy, the Member States, with the exception of the United Kingdom of Great Britain and Northern Ireland, (hereinafter referred to as 'the Member States`), wishing to pursue the course mapped out by the 1989 Social Charter have concluded an Agreement on social policy amongst themselves;	(1) mivel a szociálpolitikáról szóló jegyzőkönyv alapján a tagállamok, Nagy-Britannia és Észak-Írország Egyesült Királysága kivételével (a továbbiakban: tagállamok), követni kívánták az 1989. évi Szociális Chartában meghatározott utat, ezért egy, a szociálpolitikáról szóló megállapodást kötöttek;	31996L0034_en-hu
(2) Whereas management and labour may, in accordance with Article 4 (2) of the Agreement on social policy, request jointly that agreements at Community level be implemented by a Council decision on a proposal from the Commission;	(2) mivel a szociális partnerek a szociálpolitikáról szóló megállapodás 4. cikkének (2) bekezdésével összhangban közösen kérhetik, hogy a közösségi szintű megállapodások a Bizottság javaslata alapján tanácsi határozat útján kerüljenek végrehajtásra;	31996L0034_en-hu
(3) Whereas paragraph 16 of the Community Charter of the Fundamental Social Rights of Workers on equal treatment for men and women provides, inter alia, that 'measures should also be developed enabling men and women to reconcile their occupational and family obligations`;	(3) mivel a munkavállalók alapvető szociális jogairól szóló közösségi chartának a férfiakkal és a nőkkel való egyenlő bánásmódról szóló 16. pontja többek között elrendeli, hogy "olyan intézkedéseket kell kidolgozni, amelyek lehetővé teszik a férfiak és a nők számára a munkahelyi és családi kötelezettségeik összeegyeztetését";	31996L0034_en-hu
(4) Whereas the Council, despite the existence of a broad consensus, has not been able to act on the proposal for a Directive on parental leave for family reasons (1), as amended (2) on 15 November 1984;	(4) mivel a Tanács az általános egyetértés ellenére sem tudott döntést hozni a családi okok miatt szükséges szülői szabadságról szóló, 1984. november 15-én módosított [1] irányelvre [2] vonatkozó javaslat vonatkozásában;	31996L0034_en-hu
