	SIEBZEHNTES KAPITEL Verwandlung von Wert resp.	ch19_clean.en-ch19_clean.de
Chapter 19: The Transformation of the Value (and Respective Price) of Labour-Power into Wages On the surface of bourgeois society the wage of the labourer appears as the price of labour, a certain quantity of money that is paid for a certain quantity of labour.	Preis der Arbeitskraft in Arbeitslohn Auf der Oberfläche der bürgerlichen Gesellschaft erscheint der Lohn des Arbeiters als Preis der Arbeit, ein bestimmtes Quantum Geld, das für ein bestimmtes Quantum Arbeit gezahlt wird.	ch19_clean.en-ch19_clean.de
Thus people speak of the value of labour and call its expression in money its necessary or natural price.	Man spricht hier vom Wert der Arbeit und nennt seinen Geldausdruck ihren notwendigen oder natürlichen Preis.	ch19_clean.en-ch19_clean.de
On the other hand they speak of the market-prices of labour, i.e., prices oscillating above or below its natural price.	Man spricht andrerseits von Marktpreisen der Arbeit, d.h. über oder unter ihrem notwendigen Preis oszillierenden Preisen.	ch19_clean.en-ch19_clean.de
But what is the value of a commodity?	Aber was ist der Wert einer Ware?	ch19_clean.en-ch19_clean.de
The objective form of the social labour expended in its production.	Gegenständliche Form der in ihrer Produktion verausgabten gesellschaftlichen Arbeit.	ch19_clean.en-ch19_clean.de
And how do we measure the quantity of this value?	Und wodurch messen wir die Größe ihres Werts?	ch19_clean.en-ch19_clean.de
By the quantity of the labour contained in it.	Durch die Größe der in ihr enthaltnen Arbeit.	ch19_clean.en-ch19_clean.de
How then is the value, e.g., of a 12 hour working-day to be determined?	Wodurch wäre also der Wert z.B. eines zwölfstündigen Arbeitstags bestimmt?	ch19_clean.en-ch19_clean.de
By the 12 working-hours contained in a working day of 12 hours, which is an absurd tautology.	Durch die in einem Arbeitstag von 12 Stunden enthaltnen 12 Arbeitsstunden, was eine abgeschmackte Tautologie ist.	ch19_clean.en-ch19_clean.de
In order to be sold as a commodity in the market, labour must at all events exist before it is sold.	Um als Ware auf dem Markt verkauft zu werden, müßte die Arbeit jedenfalls existieren, bevor sie verkauft wird.	ch19_clean.en-ch19_clean.de
But, could the labourer give it an independent objective existence, he would sell a commodity and not labour.	Könnte der Arbeiter ihr aber eine selbständige Existenz geben, so würde er Ware verkaufen und nicht Arbeit.	ch19_clean.en-ch19_clean.de
Apart from these contradictions, a direct exchange of money, i.e., of realized labour, with living labour would either do away with the law of value which only begins to develop itself freely on the basis of capitalist production, or do away with capitalist production itself, which rests directly on wage-labour.	Von diesen Widersprüchen abgesehn, würde ein direkter Austausch von Geld, d.h. vergegenständlichter Arbeit, mit lebendiger Arbeit entweder das Wertgesetz aufheben, welches sich grade erst auf Grundlage der kapitalistischen Produktion frei entwickelt, oder die kapitalistische Produktion selbst aufheben, welche grade auf der Lohnarbeit beruht.	ch19_clean.en-ch19_clean.de
The working day of 12 hours embodies itself, e.g., in a money-value of 6s.	Der Arbeitstag von 12 Stunden stellt sich z.B. in einem Geldwert von 6 sh. dar.	ch19_clean.en-ch19_clean.de
Either equivalents are exchanged, and then the labourer receives 6s, for 12 hours’ labour; the price of his labour would be equal to the price of his product.	Entweder werden Äquivalente ausgetauscht, und dann erhält der Arbeiter für zwölfstündige Arbeit 6 sh.	ch19_clean.en-ch19_clean.de
In this case he produces no surplus-value for the buyer of his labour, the 6s. are not transformed into capital, the basis of capitalist production vanishes.	Der Preis seiner Arbeit wäre gleich dem Preis seines Produkts.	ch19_clean.en-ch19_clean.de
But it is on this very basis that he sells his labour and that his labour is wage-labour.	In diesem Fall produzierte er keinen Mehrwert für den Käufer seiner Arbeit, die 6 sh. verwandelten sich nicht in Kapital, die Grundlage der kapitalistischen Produktion verschwände, aber grade auf dieser Grundlage verkauft er seine Arbeit und ist seine Arbeit Lohnarbeit.	ch19_clean.en-ch19_clean.de
Or else he receives for 12 hours’ labour less than 6s., i.e., less than 12 hours’ labour.	Oder er erhält für 12 Stunden Arbeit weniger als 6 sh., d.h. weniger als 12 Stunden Arbeit.	ch19_clean.en-ch19_clean.de
Twelve hours’ labour are exchanged against 10, 6, &c., hours’ labour.	Zwölf Stunden Arbeit tauschen sich aus gegen 10, 6 usw. Stunden Arbeit.	ch19_clean.en-ch19_clean.de
This equalisation of unequal quantities not merely does away with the determination of value.	Diese Gleichsetzung ungleicher Größen hebt nicht nur die Wertbestimmung auf.	ch19_clean.en-ch19_clean.de
Such a self-destructive contradiction cannot be in any way even enunciated or formulated as a law.	Ein solcher sich selbst aufhebender Widerspruch kann überhaupt nicht als Gesetz auch nur ausgesprochen oder formuliert werden.	ch19_clean.en-ch19_clean.de
It is of no avail to deduce the exchange of more labour against less, from their difference of form, the one being realized, the other living.	Es nützt nichts, den Austausch von mehr gegen weniger Arbeit aus dem Formunterschied herzuleiten, daß sie das eine Mal vergegenständlicht, das andre Mal lebendig ist.	ch19_clean.en-ch19_clean.de
This is the more absurd as the value of a commodity is determined not by the quantity of labour actually realized in it, but by the quantity of living labour necessary for its production.	Dies ist um so abgeschmackter, als der Wert einer Ware nicht durch das Quantum wirklich in ihr vergegenständlichter, sondern durch das Quantum der zu ihrer Produktion notwendigen lebendigen Arbeit bestimmt wird.	ch19_clean.en-ch19_clean.de
A commodity represents, say, 6 working-hours.	Eine Ware stelle 6 Arbeitsstunden dar.	ch19_clean.en-ch19_clean.de
If an invention is made by which it can be produced in 3 hours, the value, even of the commodity already produced, falls by half.	Werden Erfindungen gemacht, wodurch sie in 3 Stunden produziert werden kann, so sinkt der Wert auch der bereits produzierten Ware um die Hälfte.	ch19_clean.en-ch19_clean.de
It represents now 3 hours of social labour instead of the 6 formerly necessary.	Sie stellt jetzt 3 statt früher 6 Stunden notwendige gesellschaftliche Arbeit dar.	ch19_clean.en-ch19_clean.de
