Chapter 28: Bloody Legislation Against the Expropriated, from the End of the 15th Century.	3. Blutgesetzgebung gegen die Expropriierten seit Ende des 15. Jahrhunderts.	ch28_clean.en-ch28_clean.de
Forcing Down of Wages by Acts of Parliament The proletariat created by the breaking up of the bands of feudal retainers and by the forcible expropriation of the people from the soil, this “free” proletariat could not possibly be absorbed by the nascent manufactures as fast as it was thrown upon the world.	Gesetze zur Herabdrückung des Arbeitslohns Die durch Auflösung der feudalen Gefolgschaften und durch stoßweise, gewaltsame Expropriation von Grund und Boden Verjagten, dies vogelfreie Proletariat konnte unmöglich ebenso rasch von der aufkommenden Manufaktur absorbiert werden, als es auf die Welt gesetzt ward.	ch28_clean.en-ch28_clean.de
On the other hand, these men, suddenly dragged from their wonted mode of life, could not as suddenly adapt themselves to the discipline of their new condition.	Andrer- seits konnten die plötzlich aus ihrer gewohnten Lebensbahn Herausgeschleuderten sich nicht ebenso plötzlich in die Disziplin des neuen Zustandes finden.	ch28_clean.en-ch28_clean.de
They were turned en masse into beggars, robbers, vagabonds, partly from inclination, in most cases from stress of circumstances.	Sie verwandelten sich massenhaft in Bettler, Räuber, Vagabunden, zum Teil aus Neigung, in den meisten Fällen durch den Zwang der Umstände.	ch28_clean.en-ch28_clean.de
Hence at the end of the 15th and during the whole of the 16th century, throughout Western Europe a bloody legislation against vagabondage.	Ende des 15. und während des ganzen 16. Jahrhunderts daher in ganz Westeuropa eine Blutgesetzgebung wider Vagabundage.	ch28_clean.en-ch28_clean.de
The fathers of the present working class were chastised for their enforced transformation into vagabonds and paupers.	Die Väter der jetzigen Arbeiterklasse wurden zunächst gezüchtigt für die ihnen angetane Verwandlung in Vagabunden und Paupers.	ch28_clean.en-ch28_clean.de
Legislation treated them as “voluntary” criminals, and assumed that it depended on their own good will to go on working under the old conditions that no longer existed.	Die Gesetzgebung behandelte sie als "freiwillige" Verbrecher und unterstellte, daß es von ihrem guten Willen abhänge, in den nicht mehr existierenden alten Verhältnissen fortzuarbeiten.	ch28_clean.en-ch28_clean.de
In England this legislation began under Henry VII. Henry VIII. 1530: Beggars old and unable to work receive a beggar’s licence.	In England begann jene Gesetzgebung unter Heinrich VII. Heinrich VIII., 1530: Alte und arbeitsunfähige Bettler erhalten eine Bettellizenz.	ch28_clean.en-ch28_clean.de
On the other hand, whipping and imprisonment for sturdy vagabonds.	Dagegen Auspeitschung und Einsperrung für handfeste Vagabunden.	ch28_clean.en-ch28_clean.de
They are to be tied to the cart-tail and whipped until the blood streams from their bodies, then to swear an oath to go back to their birthplace or to where they have lived the last three years and to “put themselves to labour.”	Sie sollen an einen Karren hinten angebunden und gegeißelt werden, bis das Blut von ihrem Körper strömt, dann einen Eid schwören, zu ihrem Geburtsplatz oder dorthin, wo sie die letzten drei Jahre gewohnt, zurückzukehren und "sich an die Arbeit zu setzen" (to put himself to labour).	ch28_clean.en-ch28_clean.de
What grim irony! In 27 Henry VIII. the former statute is repeated, but strengthened with new clauses.	Welche grausame Ironie! 27 Heinrich VIII. <D.h. Gesetz aus dem 27. Regierungsjahr Heinrichs VIII. Die bei den folgenden Angaben an zweiter Stelle gegebenen Ziffern sind die Nummern der in dem betreffenden Regierungsjahr erlassenen Gesetze> wird das vorige Statut wiederholt, aber durch neue Zusätze verschärft.	ch28_clean.en-ch28_clean.de
