Chapter 30: Reaction of the Agricultural Revolution on Industry.	5. Rückwirkung der agrikolen Revolution auf die Industrie.	ch30_clean.en-ch30_clean.de
Creation of the Home-Market for Industrial Capital The expropriation and expulsion of the agricultural population, intermittent but renewed again and again, supplied, as we saw, the town industries with a mass of proletarians entirely unconnected with the corporate guilds and unfettered by them; a fortunate circumstance that makes old A. Anderson (not to be confounded with James Anderson), in his “History of Commerce,” believe in the direct intervention of Providence.	Herstellung des innern Markts für das industrielle Kapital Die stoßweise und stets erneuerte Expropriation und Verjagung des Landvolks lieferte, wie man sah, der städtischen Industrie wieder und wieder Massen ganz außerhalb der Zunftverhältnisse stehender Proletarier, ein weiser Umstand, der den alten A. Anderson (nicht zu verwechseln mit James Anderson) in seiner Handelsgeschichte an direkte Intervention der Vorsehung glauben läßt.	ch30_clean.en-ch30_clean.de
We must still pause a moment on this element of primitive accumulation.	Wir müssen noch einen Augenblick bei diesem Element der ursprünglichen Akkumulation verweilen.	ch30_clean.en-ch30_clean.de
The thinning-out of the independent, self-supporting peasants not only brought about the crowding together of the industrial proletariat, in the way that Geoffrey Saint Hilaire explained the condensation of cosmical matter at one place, by its rarefaction at another.	Der Verdünnung des unabhängigen, selbstwirtschaftenden Landvolks entsprach nicht nur die Verdichtung des industriellen Proletariats, wie Geoffroy Saint-Hilaire die Verdichtung der Weltmaterie hier durch ihre Verdünnung dort erklärt.	ch30_clean.en-ch30_clean.de
In spite of the smaller number of its cultivators, the soil brought forth as much or more produce, after as before, because the revolution in the conditions of landed property was accompanied by improved methods of culture, greater co-operation, concentration of the means of production, &c., and because not only were the agricultural wage labourers put on the strain more intensely2, but the field of production on which they worked for themselves became more and more contracted.	Trotz der verminderten Zahl seiner Bebauer trug der Boden nach wie vor gleich viel oder mehr Produkt, weil die Revolution in den Grundeigentumsverhältnissen von verbesserten Methoden der Kultur, größerer Kooperation, Konzentration der Produktionsmittel usw. begleitet war und weil die ländlichen Lohnarbeiter nicht nur intensiver angespannt wurden , sondern auch das Produktionsfeld, worauf sie für sich selbst arbeiteten, mehr und mehr zusammenschmolz.	ch30_clean.en-ch30_clean.de
With the setting free of a part of the agricultural population, therefore, their former means of nourishment were also set free.	Mit dem freigesetzten Teil des Landvolks werden also auch seine frühern Nahrungsmittel freigesetzt.	ch30_clean.en-ch30_clean.de
They were now transformed into material elements of variable capital.	Sie verwandeln sich jetzt in stoffliches Element des variablen Kapitals.	ch30_clean.en-ch30_clean.de
The peasant, expropriated and cast adrift, must buy their value in the form of wages, from his new master, the industrial capitalist.	Der an die Luft gesetzte Bauer muß ihren Wert von seinem neuen Herrn, dem industriellen Kapitalisten, in der Form des Arbeitslohns erkaufen.	ch30_clean.en-ch30_clean.de
That which holds good of the means of subsistence holds with the raw materials of industry dependent upon home agriculture.	Wie mit den Lebensmitteln verhielt es sich mit dem heimischen agrikolen Rohmaterial der Industrie.	ch30_clean.en-ch30_clean.de
They were transformed into an element of constant capital.	Es verwandelte sich in ein Element des konstanten Kapitals.	ch30_clean.en-ch30_clean.de
Suppose, e.g., a part of the Westphalian peasants, who, at the time of Frederick II, all span flax, forcibly expropriated and hunted from the soil; and the other part that remained, turned into day labourers of large farmers.	Man unterstelle z.B. einen Teil der westfälischen Bauern, die zu Friedrichs II. Zeit alle Flachs, wenn auch keine Seide spannen, gewaltsam expropriiert und von Grund und Boden verjagt, den andren zurückbleibenden Teil aber in Taglöhner großer Pächter verwandelt.	ch30_clean.en-ch30_clean.de
At the same time arise large establishments for flax-spinning and weaving, in which the men “set free” now work for wages.	Gleichzeitig erheben sich große Flachsspinnereien und Webereien, worin die "Freigesetzten" nun lohnarbeiten.	ch30_clean.en-ch30_clean.de
The flax looks exactly as before.	Der Flachs sieht grad aus wie vorher.	ch30_clean.en-ch30_clean.de
Not a fibre of it is changed, but a new social soul has popped into its body.	Keine Fiber an ihm ist verändert, aber eine neue soziale Seele ist ihm in den Leib gefahren.	ch30_clean.en-ch30_clean.de
It forms now a part of the constant capital of the master manufacturer.	Er bildet jetzt einen Teil des konstanten Kapitals der Manufakturherrn.	ch30_clean.en-ch30_clean.de
Formerly divided among a number of small producers, who cultivated it themselves and with their families spun it in retail fashion, it is now concentrated in the hand of one capitalist, who sets others to spin and weave it for him.	Früher verteilt unter eine Unmasse kleiner Produzenten, die ihn selbst bauten und in kleinen Portionen mit ihren Familien verspannen, ist er jetzt konzentriert in der Hand eines Kapitalisten, der andre für sich spinnen und weben läßt.	ch30_clean.en-ch30_clean.de
The extra labour expended in flax-spinning realised itself formerly in extra income to numerous peasant families, or maybe, in Frederick II’s time, in taxes pour le roi de Prusse.	Die in der Flachsspinnerei verausgabte Extraarbeit realisierte sich früher in Extraeinkommen zahlloser Bauernfamilien oder auch, zu Friedrichs II. Zeit, in Steuern pour le roi de Prusse <für den König von Preußen>.	ch30_clean.en-ch30_clean.de
It realises itself now in profit for a few capitalists.	Sie realisiert sich jetzt im Profit weniger Kapitalisten.	ch30_clean.en-ch30_clean.de
The spindles and looms, formerly scattered over the face of the country, are now crowded together in a few great labour-barracks, together with the labourers and the raw material.	Die Spindeln und Webstühle, früher verteilt über das flache Land, sind jetzt in wenig große Arbeitskasernen zusammengerückt, wie die Arbeiter, wie das Rohmaterial.	ch30_clean.en-ch30_clean.de
And spindles, looms, raw material, are now transformed from means of independent existence for the spinners and weavers, into means for commanding them and sucking out of them unpaid labour.	Und Spindeln und Webstühle und Rohmaterial sind aus Mitteln unabhängiger Existenz für Spinner und Weber von nun an verwandelt in Mittel, sie zu kommandieren und ihnen unbezahlte Arbeit auszusaugen.	ch30_clean.en-ch30_clean.de
One does not perceive, when looking at the large manufactories and the large farms, that they have originated from the throwing into one of many small centres of production, and have been built up by the expropriation of many small independent producers.	Den großen Manufakturen, wie den großen Pachtungen, sieht man es nicht an, daß sie aus vielen kleinen Produktionsstätten zusammengeschlagen und durch die Expropriation vieler kleinen unabhängigen Produzenten gebildet sind.	ch30_clean.en-ch30_clean.de
Nevertheless, the popular intuition was not at fault.	Jedoch läßt sich die unbefangne Anschauung nicht beirren.	ch30_clean.en-ch30_clean.de
In the time of Mirabeau, the lion of the Revolution, the great manufactories were still called manufactures réunies, workshops thrown into one, as we speak of fields thrown into one.	Zur Zeit Mirabeaus, des Revolutionslöwen, hießen die großen Manufakturen noch manufactures réunies, zusammengeschlagne Werkstätten, wie wir von zusammengeschlagnen Äckern sprechen.	ch30_clean.en-ch30_clean.de
Says Mirabeau: “We are only paying attention to the grand manufactories, in which hundreds of men work under a director and which are commonly called manufactures réunies.	"Man sieht nur", sagt Mirabeau, "die großen Manufakturen, wo Hunderte von Menschen unter einem Direktor arbeiten und die man gewöhnlich vereinigte Manu- fakturen (rnanufactures réunies) nennt.	ch30_clean.en-ch30_clean.de
Those where a very large number of labourers work, each separately and on his own account, are hardly considered; they are placed at an infinite distance from the others.	Diejenigen dagegen, wo eine sehr große Anzahl Arbeiter zersplittert und jeder für seine eigne Rechnung arbeitet, werden kaum eines Blicks gewürdigt. Man stellt sie ganz in den Hintergrund.	ch30_clean.en-ch30_clean.de
This is a great error, as the latter alone make a really important object of national prosperity....	Dies ist ein sehr großer Irrtum, denn sie allein bilden einen wirklich wichtigen Bestandteil des Volksreichtums ...	ch30_clean.en-ch30_clean.de
The large workshop (manufacture réunie) will enrich prodigiously one or two entrepreneurs, but the labourers will only be journeymen, paid more or less, and will not have any share in the success of the undertaking.	Die vereinigte Fabrik (fabrique réunie) wird einen oder zwei Unternehmer wunderbar bereichern, aber die Arbeiter sind nur besser oder schlechter bezahlte Taglöhner und nehmen in nichts am Wohlsein des Unternehmers teil.	ch30_clean.en-ch30_clean.de
In the discrete workshop (manufacture separée), on the contrary, no one will become rich, but many labourers will be comfortable; the saving and the industrious will be able to amass a little capital, to put by a little for a birth of a child, for an illness, for themselves or their belongings.	In der getrennten Fabrik (fabrique séparée) dagegen wird niemand reich, aber eine Menge Arbeiter befindet sich im Wohlstand ...	ch30_clean.en-ch30_clean.de
The number of saving and industrious labourers will increase, because they will see in good conduct, in activity, a means of essentially bettering their condition, and not of obtaining a small rise in wages that can never be of any importance of the future, and whose sole result is to place men in the position to live a little better, but only from day to day....	Die Zahl der fleißigen und wirtschaftlichen Arbeiter wird wachsen, weil sie in weiser Lebensart, in Tätigkeit ein Mittel erblicken, ihre Lage wesentlich zu verbessern, statt eine kleine Lohnerhöhung zu gewinnen, die niemals ein wichtiger Gegenstand für die Zukunft sein kann, sondern die Leute höchstens befähigt, etwas besser von der Hand in den Mund zu leben.	ch30_clean.en-ch30_clean.de
The large workshops, undertakings of certain private persons who pay labourers from day to day to work for their gain, may be able to put these private individuals at their ease, but they will never be an object worth the attention of governments.		ch30_clean.en-ch30_clean.de
Discrete workshops, for the most part combined with cultivation of small holdings, are the only free ones.”	Die getrennten individuellen Manufakturen, meist mit kleiner Landwirtschaft verbunden, sind die freien."	ch30_clean.en-ch30_clean.de
The expropriation and eviction of a part of the agricultural population not only set free for industrial capital, the labourers, their means of subsistence, and material for labour; it also created the home-market.	Die Expropriation und Verjagung eines Teils des Landvolks setzt mit den Arbeitern nicht nur ihre Lebensmittel und ihr Arbeitsmaterial für das industrielle Kapital frei, sie schafft den innern Markt.	ch30_clean.en-ch30_clean.de
In fact, the events that transformed the small peasants into wage labourers, and their means of subsistence and of labour into material elements of capital, created, at the same time, a home-market for the latter.	In der Tat, die Ereignisse, die die Kleinbauern in Lohnarbeiter und ihre Lebens- und Arbeitsmittel in sachliche Elemente des Kapitals verwandeln, schaffen gleichzeitig diesem letztern seinen inneren Markt.	ch30_clean.en-ch30_clean.de
Formerly, the peasant family produced the means of subsistence and the raw materials, which they themselves, for the most part, consumed.	Früher erzeugte und bearbeitete die Bauernfamilie die Lebensmittel und Rohstoffe, die sie nachher größtenteils selbst verzehrte.	ch30_clean.en-ch30_clean.de
These raw materials and means of subsistence have now become commodities; the large farmer sells them, he finds his market in manufactures.	Diese Rohstoffe und Lebensmittel sind jetzt Waren geworden; der Großpächter verkauft sie, in den Manufakturen findet er seinen Markt.	ch30_clean.en-ch30_clean.de
