Chapter 15: Machinery and Large-Scale Industry 1.	DREIZEHNTES KAPITEL.	ch15_clean.en-ch15_clean.de
THE DEVELOPMENT OF MACHINERY John Stuart Mill says in his Principles of Political Economy:’It is questionable if all the mechanical inventions yet made have lightened the day’s toil of any human being.’	TEIL I (ABSCHNITT 1 BIS 3) Maschinerie und große Industrie 1. Entwicklung der Maschinerie John Stuart Mill sagt in seinen "Prinzipien der politischen Ökonomie": "Es ist fraglich, ob alle bisher gemachten mechanischen Erfindungen die Tagesmühe irgendeines menschlichen Wesens erleichtert haben."	ch15_clean.en-ch15_clean.de
That is, however, by no means the aim of the application of machinery under capitalism.	Solches ist jedoch auch keineswegs der Zweck der kapitalistisch verwandten Maschinerie.	ch15_clean.en-ch15_clean.de
Like every other instrument for increasing the productivity of labour, machinery is intended to cheapen commodities and, by shortening the part of the working day in which the worker works for himself, to lengthen the other part, the part he gives to the capitalist for nothing.	Gleich jeder andren Entwicklung der Produktivkraft der Arbeit soll sie Waren verwohlfeilern und den Teil des Arbeitstags, den der Arbeiter für sich selbst braucht, verkürzen, um den andren Teil seines Arbeitstags, den er dem Kapitalisten umsonst gibt, zu verlängern.	ch15_clean.en-ch15_clean.de
The machine is a means for producing surplus-value.	Sie ist Mittel zur Produktion von Mehrwert.	ch15_clean.en-ch15_clean.de
In manufacture the transformation of the mode of production takes labour-power as its starting-point. In large-scale industry, on the other hand, the instruments of labour are the starting-point.	Die Umwälzung der Produktionsweise nimmt in der Manufaktur die Arbeitskraft zum Ausgangspunkt, in der großen Industrie das Arbeitsmittel.	ch15_clean.en-ch15_clean.de
We have first to investigate, then, how the instruments of labour are converted from tools into machines, or what the difference is between a machine and an implement used in a handicraft.	Es ist also zunächst zu untersuchen, wodurch das Arbeitsmittel aus einem Werkzeug in eine Maschine verwandelt wird oder wodurch sich die Maschine vom Handwerksinstrument unterscheidet.	ch15_clean.en-ch15_clean.de
We are concerned here only with broad and general characteristics, for epochs in the history of society are no more separated from each other by strict and abstract lines of demarcation than are geological epochs.	Es handelt sich hier nur um große, allgemeine Charakterzüge, denn abstrakt strenge Grenzlinien scheiden ebensowenig die Epochen der Gesellschafts- wie die der Erdgeschichte.	ch15_clean.en-ch15_clean.de
Mathematicians and experts on mechanics – and they are occasionally followed in this by English economists – call a tool a simple machine and a machine a complex tool.	Mathematiker und Mechaniker - und man findet dies hier und da von englischen Ökonomen wiederholt - erklären das Werkzeug für eine ein- fache Maschine und die Maschine für ein zusammengesetztes Werkzeug.	ch15_clean.en-ch15_clean.de
They see no essential difference between them, and even give the name of machine to simple mechanical aids such as the lever, the inclined plane, the screw, the wedge, etc.	Sie sehn hier keinen wesentlichen Unterschied und nennen sogar die einfachen mechanischen Potenzen, wie Hebel, schiefe Ebne, Schraube, Keil usw., Maschinen.	ch15_clean.en-ch15_clean.de
As a matter of fact, every machine is a combination of these simple aids, or powers, no matter how they may be disguised.	In der Tat besteht jede Maschine aus jenen einfachen Potenzen, wie immer verkleidet und kombiniert.	ch15_clean.en-ch15_clean.de
