	SIEBZEHNTES KAPITEL Verwandlung von Wert resp.	ch19_clean.en-ch19_clean.de
Chapter 19: The Transformation of the Value (and Respectively the Price) of Labour-Power into Wages On the surface of bourgeois society the worker’s wage appears as the price of labour, as a certain quantity of money that is paid for a certain quantity of labour.	Preis der Arbeitskraft in Arbeitslohn Auf der Oberfläche der bürgerlichen Gesellschaft erscheint der Lohn des Arbeiters als Preis der Arbeit, ein bestimmtes Quantum Geld, das für ein bestimmtes Quantum Arbeit gezahlt wird.	ch19_clean.en-ch19_clean.de
Thus people speak of the value of labour, and call its expression in money its necessary or natural price.	Man spricht hier vom Wert der Arbeit und nennt seinen Geldausdruck ihren notwendigen oder natürlichen Preis.	ch19_clean.en-ch19_clean.de
On the other hand they speak of the market prices of labour, i.e. prices which oscillate above or below its necessary price.	Man spricht andrerseits von Marktpreisen der Arbeit, d.h. über oder unter ihrem notwendigen Preis oszillierenden Preisen.	ch19_clean.en-ch19_clean.de
But what is the value of a commodity?	Aber was ist der Wert einer Ware?	ch19_clean.en-ch19_clean.de
The objective form of the social labour expended in its production.	Gegenständliche Form der in ihrer Produktion verausgabten gesellschaftlichen Arbeit.	ch19_clean.en-ch19_clean.de
And how do we measure the quantity of this value?	Und wodurch messen wir die Größe ihres Werts?	ch19_clean.en-ch19_clean.de
By the quantity of the labour contained in it.	Durch die Größe der in ihr enthaltnen Arbeit.	ch19_clean.en-ch19_clean.de
How then is the value, e.g., of a 12-hour working day to be determined?	Wodurch wäre also der Wert z.B. eines zwölfstündigen Arbeitstags bestimmt?	ch19_clean.en-ch19_clean.de
By the 12 working hours contained in a working day of 12 hours, which is an absurd tautology.	Durch die in einem Arbeitstag von 12 Stunden enthaltnen 12 Arbeitsstunden, was eine abgeschmackte Tautologie ist.	ch19_clean.en-ch19_clean.de
In order to be sold as a commodity in the market, labour must at all events exist before it is sold.	Um als Ware auf dem Markt verkauft zu werden, müßte die Arbeit jedenfalls existieren, bevor sie verkauft wird.	ch19_clean.en-ch19_clean.de
But if the worker were able to endow it with an independent existence, he would be selling a commodity, and not labour.	Könnte der Arbeiter ihr aber eine selbständige Existenz geben, so würde er Ware verkaufen und nicht Arbeit.	ch19_clean.en-ch19_clean.de
Apart from these contradictions, a direct exchange of money, i.e. of objectified labour, with living labour, would either supersede the law of value, which only begins to develop freely on the basis of capitalist production, or supersede capitalist production itself, which rests directly on wage-labour.	Von diesen Widersprüchen abgesehn, würde ein direkter Austausch von Geld, d.h. vergegenständlichter Arbeit, mit lebendiger Arbeit entweder das Wertgesetz aufheben, welches sich grade erst auf Grundlage der kapitalistischen Produktion frei entwickelt, oder die kapitalistische Produktion selbst aufheben, welche grade auf der Lohnarbeit beruht.	ch19_clean.en-ch19_clean.de
The working day of 12 hours is represented in a monetary value of, for example, 6 shillings.	Der Arbeitstag von 12 Stunden stellt sich z.B. in einem Geldwert von 6 sh. dar.	ch19_clean.en-ch19_clean.de
There are two alternatives. Either equivalents are exchanged, and then the worker receives 6 shillings for 12 hours of labour; the price of his labour would be equal to the price of his product.		ch19_clean.en-ch19_clean.de
In that case he produces no surplus-value for the buyer of his labour, the 6 shillings are not transformed into capital, and the basis of capitalist production vanishes.	Entweder werden Äquivalente ausgetauscht, und dann erhält der Arbeiter für zwölfstündige Arbeit 6 sh. Der Preis seiner Arbeit wäre gleich dem Preis seines Produkts.	ch19_clean.en-ch19_clean.de
But it is precisely on that basis that he sells his labour and that his labour is wage-labour.	In diesem Fall produzierte er keinen Mehrwert für den Käufer seiner Arbeit, die 6 sh. verwandelten sich nicht in Kapital, die Grundlage der kapitalistischen Produktion verschwände, aber grade auf dieser Grundlage verkauft er seine Arbeit und ist seine Arbeit Lohnarbeit.	ch19_clean.en-ch19_clean.de
Or else he receives, in return for 12 hours of labour, less than 6 shillings, i.e. less than 12 hours of labour. hours of labour are exchanged for 10, 6, etc. hours of labour.	Oder er erhält für 12 Stunden Arbeit weniger als 6 sh., d.h. weniger als 12 Stunden Arbeit. Zwölf Stunden Arbeit tauschen sich aus gegen 10, 6 usw. Stunden Arbeit.	ch19_clean.en-ch19_clean.de
But to equate unequal quantities in this way does not just do away with the determination of value.	Diese Gleichsetzung ungleicher Größen hebt nicht nur die Wertbestimmung auf.	ch19_clean.en-ch19_clean.de
Such a self-destructive contradiction cannot be in any way even enunciated or formulated as a law.	Ein solcher sich selbst aufhebender Widerspruch kann überhaupt nicht als Gesetz auch nur ausgesprochen oder formuliert werden.	ch19_clean.en-ch19_clean.de
It is no use deducing the exchange of more labour against less from the differences in form in each case, one piece of labour being objectified, the other living.	Es nützt nichts, den Austausch von mehr gegen weniger Arbeit aus dem Formunterschied herzuleiten, daß sie das eine Mal vergegenständlicht, das andre Mal lebendig ist.	ch19_clean.en-ch19_clean.de
In fact, this way out is even more absurd because the value of a commodity is determined not by the quantity of labour actually objectified in it, but by the quantity of living labour necessary to produce it.	Dies ist um so abgeschmackter, als der Wert einer Ware nicht durch das Quantum wirklich in ihr vergegenständlichter, sondern durch das Quantum der zu ihrer Produktion notwendigen lebendigen Arbeit bestimmt wird.	ch19_clean.en-ch19_clean.de
A commodity represents, say, 6 working hours.	Eine Ware stelle 6 Arbeitsstunden dar.	ch19_clean.en-ch19_clean.de
If an invention is made by which it can be produced in 3 hours, the value, even of the commodity already produced, falls by half.	Werden Erfindungen gemacht, wodurch sie in 3 Stunden produziert werden kann, so sinkt der Wert auch der bereits produzierten Ware um die Hälfte.	ch19_clean.en-ch19_clean.de
It now represents 3 hours of socially necessary labour instead of the 6 formerly required.	Sie stellt jetzt 3 statt früher 6 Stunden notwendige gesellschaftliche Arbeit dar.	ch19_clean.en-ch19_clean.de
It is therefore the quantity of labour required to produce it, not the objectified form of that labour, which determines the amount of the value of a commodity.	Es ist also das zu ihrer Produktion erheischte Quantum Arbeit, nicht deren gegenständliche Form, wodurch ihre Wertgröße bestimmt wird.	ch19_clean.en-ch19_clean.de
It is not labour which directly confronts the possessor of money on the commodity-market, but rather the worker.	Was dem Geldbesitzer auf dem Warenmarkt direkt gegenübertritt, ist in der Tat nicht die Arbeit, sondern der Arbeiter.	ch19_clean.en-ch19_clean.de
What the worker is selling is his labour-power.	Was letztrer verkauft, ist seine Arbeitskraft.	ch19_clean.en-ch19_clean.de
As soon as his labour actually begins, it has already ceased to belong to him; it can therefore no longer be sold by him.	Sobald seine Arbeit wirklich beginnt, hat sie bereits aufgehört, ihm zu gehören, kann also nicht mehr von ihm verkauft werden.	ch19_clean.en-ch19_clean.de
Labour is the substance, and the immanent measure of value, but it has no value itself.	Die Arbeit ist die Substanz und das immanente Maß der Werte, aber sie selbst hat keinen Wert.	ch19_clean.en-ch19_clean.de
In the expression ‘value of labour’, the concept of value is not only completely extinguished, but inverted, so that it becomes its contrary.	Im Ausdruck: "Wert der Arbeit" ist der Wertbegriff nicht nur völlig ausgelöscht, sondern in sein Gegenteil verkehrt.	ch19_clean.en-ch19_clean.de
It is an expression as imaginary as the value of the earth.	Es ist ein imaginärer Ausdruck, wie etwa Wert der Erde.	ch19_clean.en-ch19_clean.de
These imaginary expressions arise, nevertheless, from the relations of production themselves.	Diese imaginären Ausdrücke entspringen jedoch aus den Produktionsverhältnissen selbst.	ch19_clean.en-ch19_clean.de
They are categories for the forms of appearance of essential relations.	Sie sind Kategorien für Erscheinungsformen wesentlicher Verhältnisse.	ch19_clean.en-ch19_clean.de
That in their appearance things are often presented in an inverted way is something fairly familiar in every science, apart from political economy.	Daß in der Erscheinung die Dinge sich oft verkehrt darstellen, ist ziemlich in allen Wissenschaften bekannt, außer in der politischen Ökonomie.	ch19_clean.en-ch19_clean.de
Classical political economy borrowed the category ‘price of labour’ from everyday life without further criticism, and then simply asked the question, how is this price determined?	Die klassische politische Ökonomie entlehnte dem Alltagsleben ohne weitere Kritik die Kategorie "Preis der Arbeit", um sich dann hinterher zu fragen, wie wird dieser Preis bestimmt?	ch19_clean.en-ch19_clean.de
It soon recognized that changes in the relation between demand and supply explained nothing, with regard to the price of labour or any other commodity, except those changes themselves, i.e. the oscillations of the market price above or below a certain mean.	Sie erkannte bald, daß der Wechsel im Verhältnis von Nachfrage und Angebot für den Preis der Arbeit, wie für den jeder andren Ware, nichts erklärt außer seinem Wechsel, d.h. die Schwankung der Markpreise unter oder über eine gewisse Größe.	ch19_clean.en-ch19_clean.de
If demand and supply balance, the oscillation of prices ceases, all other circumstances remaining the same.	Decken sich Nachfrage und Angebot, so hört, unter sonst gleichbleibenden Umständen, die Preisoszillation auf.	ch19_clean.en-ch19_clean.de
But then demand and supply also cease to explain anything.	Aber dann hören auch Nachfrage und Angebot auf, irgend etwas zu erklären.	ch19_clean.en-ch19_clean.de
The price of labour, at the moment when demand and supply are in equilibrium, is its natural price, determined independently of the relation of demand and supply. It was therefore found that the natural price was the object which actually had to be analysed.	Der Preis der Arbeit, wenn Nachfrage und Angebot sich decken, ist ihr vom Verhältnis der Nachfrage und Angebot unabhängig bestimmter, ihr natürlicher Preis, der so als der eigentlich zu analysierende Gegenstand gefunden ward.	ch19_clean.en-ch19_clean.de
Or a longer period of oscillation in the market price was taken, for example a year, and the oscillations were found to cancel each other out, leaving a mean average quantity, a constant magnitude.	Oder man nahm eine längere Periode der Schwankungen des Marktpreises, z.B. ein Jahr und fand dann, daß sich ihr Auf und Ab ausgleicht zu einer mittlern Durchschnittsgröße, einer konstanten Größe.	ch19_clean.en-ch19_clean.de
This naturally had to be determined otherwise than by its own mutually compensatory variations.	Sie mußte natürlich anders bestimmt werden als die sich kompensierenden Abweichungen von ihr selbst.	ch19_clean.en-ch19_clean.de
This price, which ultimately predominates over the accidental market prices of labour and regulates them, this ‘necessary price’ (according to the Physiocrats) or ‘natural price’ of labour (according to Adam Smith) can only be its value expressed in money, as with all other commodities.	Dieser über die zufälligen Marktpreise der Arbeit übergreifende und sie regulierende Preis, der "notwendige Preis" (Physiokraten) oder "natürliche Preis" der Arbeit (Adam Smith) kann, wie bei andren Waren, nur ihr in Geld ausgedrückter Wert sein.	ch19_clean.en-ch19_clean.de
In this way, the political economists believed they could penetrate to the value of labour through the medium of the accidental prices of labour.	In dieser Art glaubte die politische Ökonomie durch die zufälligen Preise der Arbeit zu ihrem Wert vorzudringen.	ch19_clean.en-ch19_clean.de
As with other commodities, this value was then further determined by the cost of production.	Wie bei den andren Waren wurde dieser Wert dann weiter durch die Produktionskosten bestimmt.	ch19_clean.en-ch19_clean.de
But what is the cost of production… of the worker, i.e. the cost of producing or reproducing the worker himself?	Aber was sind die Produktionskosten - des Arbeiters, d.h. die Kosten, um den Arbeiter selbst zu produzieren oder zu reproduzieren?	ch19_clean.en-ch19_clean.de
The political economists unconsciously substituted this question for the original one, for the search after the cost of production of labour as such turned in a circle, and did not allow them to get any further forward at all.	Diese Frage schob sich der politischen Ökonomie bewußtlos für die ursprüngliche unter, da sie mit den Produktionskosten der Arbeit als solcher sich im Kreise drehte und nicht vom Flecke kam.	ch19_clean.en-ch19_clean.de
Therefore what they called the ‘value of labour’ is in fact the value of labour-power, as it exists in the personality of the worker, and it is as different from its function, labour, as a machine is from the operations it performs.	Was sie also Wert der Arbeit (value of labour) nennt, ist in der Tat der Wert der Arbeitskraft, die in der Persönlichkeit des Arbeiters existiert und von ihrer Funktion, der Arbeit, ebenso verschieden ist wie eine Maschine von ihren Operationen.	ch19_clean.en-ch19_clean.de
Because they were concerned with the difference between the market price of labour and its so-called value, with the relation of this value to the rate of profit and to the values of the commodities produced by means of labour, etc., they never discovered that the course of the analysis had led not only from the market prices of labour to its presumed value, but also to the resolution of this value of labour itself into the value of labour-power.	Beschäftigt mit dem Unterschied zwischen den Marktpreisen der Arbeit und ihrem sog. Wert, mit dem Verhältnis dieses Werts zur Profitrate, zu den vermittelst der Arbeit produzierten Warenwerten usw., entdeckte man niemals, daß der Gang der Analyse nicht nur von den Marktpreisen der Arbeit zu ihrem vermeintlichen Wert, sondern dahin geführt hatte, diesen Wert der Arbeit selbst wieder aufzulösen in den Wert der Arbeitskraft.	ch19_clean.en-ch19_clean.de
Classical political economy’s unconsciousness of this result of its own analysis and its uncritical acceptance of the categories ‘value of labour’, ‘natural price of labour’, etc. as the ultimate and adequate expression for the value-relation under consideration, led it into inextricable confusions and contradictions, as will be seen later,* while it offered a secure base of operations to the vulgar economists who, in their shallowness, make it a principle to worship appearances only.	Die Bewußtlosigkeit über dies Resultat ihrer eignen Analyse, die kritiklose Annahme der Kategorien "Wert der Arbeit", "natürlicher Preis der Arbeit" usw. als letzter adäquater Ausdrücke des behandelten Wertverhältnisses, verwickelte, wie man später sehn wird, die klassische politische Ökonomie in unauflösbare Wirren und Widersprüche, während sie der Vulgärökonomie eine sichere Operationsbasis für ihre prinzipiell nur dem Schein huldigende Flachheit bot.	ch19_clean.en-ch19_clean.de
Let us first see how the value (and the price) of labour-power is represented in its converted form as wages.	Sehn wir nun zunächst, wie Wert und Preise der Arbeitskraft sich in dieser verwandelten Form als Arbeitslohn darstellen.	ch19_clean.en-ch19_clean.de
We know that the daily value of labour-power is calculated upon a certain length of the worker’s life, and that this corresponds, in turn, to a certain length of the working day.	Man weiß, daß der Tageswert der Arbeitskraft berechnet ist auf eine gewisse Lebensdauer des Arbeiters, welcher eine gewisse Länge des Arbeitstags entspricht.	ch19_clean.en-ch19_clean.de
Assume that the usual working day is 12 hours and the daily value of labour-power 3 shillings, which is the expression in money of a value embodying 6 hours of labour.	Nimm an, der gewohnheitsmäßige Arbeitstag betrage 12 Stunden und der Tageswert der Arbeitskraft 3 sh., der Geldausdruck eines Werts, worin sich 6 Arbeitsstunden darstellen.	ch19_clean.en-ch19_clean.de
If the worker receives 3 shillings, then he receives the value of his labour-power, which functions through 12 hours.	Erhält der Arbeiter 3 sh., so erhält er den Wert seiner während 12 Stunden funktionierenden Arbeitskraft.	ch19_clean.en-ch19_clean.de
If this value of a day’s labour-power is now expressed as the value of a day’s labour itself, we have the formula: 12 hours of labour has a value of 3 shillings.	Wird nun dieser Tageswert der Arbeitskraft als Wert der Tagesarbeit ausgedrückt, so ergibt sich die Formel: Die zwölfstündige Arbeit hat einen Wert von 3 sh.	ch19_clean.en-ch19_clean.de
The value of labour-power thus determines the value of labour, or, expressed in money, its necessary price.	Der Wert der Arbeitskraft bestimmt so den Wert der Arbeit oder, in Geld ausgedrückt, ihren notwendigen Preis.	ch19_clean.en-ch19_clean.de
If, on the other hand, the price of labour-power differs from its value, the price of labour will similarly differ from its so-called value.	Weicht dagegen der Preis der Arbeitskraft von ihrem Wert ab, so ebenfalls der Preis der Arbeit von ihrem sog. Wert.	ch19_clean.en-ch19_clean.de
As the value of labour is only an irrational expression for the value of labour-power, it follows of course that the value of labour must always be less than its value-product, for the capitalist always makes labour-power work longer than is necessary for the reproduction of its own value.	Da der Wert der Arbeit nur ein irrationeller Ausdruck für den Wert der Arbeitskraft, ergibt sich von selbst, daß der Wert der Arbeit stets kleiner sein muß als ihr Wertprodukt, denn der Kapitalist läßt die Arbeitskraft stets länger funktionieren, als zur Reproduktion ihres eignen Werts nötig ist.	ch19_clean.en-ch19_clean.de
In the above example, the value of the labour-power that functions through 12 hours is 3 shillings, which requires 6 hours for its reproduction.	Im obigen Beispiel ist der Wert der während 12 Stunden funktionierenden Arbeitskraft 3 sh., ein Wert, zu dessen Reproduktion sie 6 Stunden braucht.	ch19_clean.en-ch19_clean.de
The value which the labour-power produces is however 6 shillings, because it in fact functions during 12 hours, and its value-product depends, not on its own value, but on the length of time it is in action.	Ihr Wertprodukt ist dagegen 6 sh., weil sie in der Tat während 12 Stunden funktioniert, und ihr Wertprodukt nicht von ihrem eignen Werte, sondern von der Zeitdauer ihrer Funktion abhängt.	ch19_clean.en-ch19_clean.de
Thus we reach a result which is at first sight absurd: labour which creates a value of 6 shillings possesses a value of 3 shillings.	Man erhält so das auf den ersten Blick abgeschmackte Resultat, daß Arbeit, die einen Wert von 6 sh. schafft, einen Wert von 3 sh. besitzt.	ch19_clean.en-ch19_clean.de
We see, further: the value of 3 shillings, which represents the paid portion of the working day, i.e. hours of labour, appears as the value or price of the whole working day of 12 hours, which thus includes 6 hours which have not been paid for.	Man sieht ferner: Der Wert von 3 sh., worin sich der bezahlte Teil des Arbeitstags, d.h. sechsstündige Arbeit darstellt, erscheint als Wert oder Preis des Gesamtarbeitstags von 12 Stunden, welcher 6 unbezahlte Stunden enthält.	ch19_clean.en-ch19_clean.de
The wage-form thus extinguishes every trace of the division of the working day into necessary labour and surplus labour, into paid labour and unpaid labour.	Die Form des Arbeitslohns löscht also jede Spur der Teilung des Arbeitstags in notwendige Arbeit und Mehrarbeit, in bezahlte und unbezahlte Arbeit aus.	ch19_clean.en-ch19_clean.de
All labour appears as paid labour.	Alle Arbeit erscheint als bezahlte Arbeit.	ch19_clean.en-ch19_clean.de
Under the corvée system it is different. There the labour of the serf for himself, and his compulsory labour for the lord of the land, are demarcated very clearly both in space and time.	Bei der Fronarbeit unterscheiden sich räumlich und zeitlich, handgreiflich sinnlich, die Arbeit des Fröners für sich selbst und seine Zwangsarbeit für den Grundherrn.	ch19_clean.en-ch19_clean.de
In slave labour, even the part of the working day in which the slave is only replacing the value of his own means of subsistence, in which he therefore actually works for himself alone, appears as labour for his master.	Bei der Sklavenarbeit erscheint selbst der Teil des Arbeitstags, worin der Sklave nur den Wert seiner eignen Lebensmittel ersetzt, den er in der Tat also für sich selbst arbeitet, als Arbeit für seinen Meister.	ch19_clean.en-ch19_clean.de
All his labour appears as unpaid labour.	Alle seine Arbeit erscheint als unbezahlte Arbeit.	ch19_clean.en-ch19_clean.de
In wage-labour, on the contrary, even surplus labour, or unpaid labour, appears as paid.	Bei der Lohnarbeit erscheint umgekehrt selbst die Mehrarbeit oder unbezahlte Arbeit als bezahlt.	ch19_clean.en-ch19_clean.de
In the one case, the property-relation conceals the slave’s labour for himself; in the other case the money-relation conceals the uncompensated labour of the wage-labourer.	Dort verbirgt das Eigentumsverhältnis das Fürsichselbstarbeiten des Sklaven, hier das Geldverhältnis das Umsonstarbeiten des Lohnarbeiters.	ch19_clean.en-ch19_clean.de
We may therefore understand the decisive importance of the transformation of the value and price of labour-power into the form of wages, or into the value and price of labour itself.	Man begreift daher die entscheidende Wichtigkeit der Verwandlung von Wert und Preis der Arbeitskraft in die Form des Arbeitslohns oder in Wert und Preis der Arbeit selbst.	ch19_clean.en-ch19_clean.de
All the notions of justice held by both the worker and the capitalist, all the mystifications of the capitalist mode of production, all capitalism’s illusions about freedom, all the apologetic tricks of vulgar economics, have as their basis the form of appearance discussed above, which makes the actual relation invisible, and indeed presents to the eye the precise opposite of that relation.	Auf dieser Erscheinungsform, die das wirkliche Verhältnis unsichtbar macht und grade sein Gegenteil zeigt, beruhn alle Rechtsvorstellungen des Arbeiters wie des Kapitalisten, alle Mystifikationen der kapitalistische Produktionsweise, alle ihre Freiheitsillusionen, alle apologetischen Flausen der Vulgärökonomie.	ch19_clean.en-ch19_clean.de
World history has taken a long time to get to the bottom of the mystery of wages; but, despite this, nothing is easier to understand than the necessity, the raison d’être, of this form of appearance.	Braucht die Weltgeschichte viele Zeit, um hinter das Geheimnis des Arbeitslohns zu kommen, so ist dagegen nichts leichter zu verstehen als die Notwendigkeit, die raisons d'être <Gründe des Daseins> dieser Erscheinungsform.	ch19_clean.en-ch19_clean.de
The exchange between capital and labour at first presents itself to our perceptions in exactly the same way as the sale and purchase of all other commodities.	Der Austausch zwischen Kapital und Arbeit stellt sich der Wahrnehmung zunächst ganz in derselben Art dar wie der Kauf und Verkauf aller andren Waren.	ch19_clean.en-ch19_clean.de
The buyer gives a certain sum of money, the seller an article which is something other than money.	Der Käufer gibt eine gewisse Geldsumme, der Verkäufer einen von Geld verschiednen Artikel.	ch19_clean.en-ch19_clean.de
The legal mind recognizes here at most a material difference, expressed in the legally equivalent formulae: ’Do ut des, do ut facias, facio ut des, facio ut facias.’* Further. Since exchange-value and use-value are in themselves incommensurable magnitudes, the expressions ‘value of labour’, ‘price of labour’, do not seem more irrational than the expressions ‘value of cotton’, ‘price of cotton’.	Das Rechtsbewußtsein erkennt hier höchstens einen stofflichen Unterschied, der sich ausdrückt in den rechtlich äquivalenten Formeln: Do ut des, do ut facias, facio ut des, und facio ut facias. <Ich gebe, damit du gibst; ich gebe, damit du tust; ich tue, damit du gibst; und ich tue, damit du tust.> Ferner: Da Tauschwert und Gebrauchswert an und für sich inkommensurable Größen sind, so scheint der Ausdruck: "Wert der Arbeit", "Preis der Arbeit" nicht irrationeller als der Ausdruck "Wert der Baumwolle", "Preis der Baumwolle".	ch19_clean.en-ch19_clean.de
Moreover, the worker is paid after he has given his labour.	Es kommt hinzu, daß der Arbeiter gezahlt wird, nachdem er seine Arbeit geliefert hat.	ch19_clean.en-ch19_clean.de
In its function as a means of payment, money realizes, but only subsequently, the value or price of the article supplied – i.e. in this particular case, the value or price of the labour supplied.	In seiner Funktion als Zahlungsmittel realisiert das Geld aber nachträglich den Wert oder Preis des gelieferten Artikels, also im gegebnen Fall den Wert oder Preis der gelieferten Arbeit.	ch19_clean.en-ch19_clean.de
Finally, the use-value supplied by the worker to the capitalist is not in fact his labour-power but its function, a specific form of useful labour, such as tailoring, cobbling, spinning, etc. That this same labour is, on the other hand, the universal value-creating element, and thus possesses a property by virtue of which it differs from all other commodities, is something which falls outside the frame of reference of the everyday consciousness.	Endlich ist der "Gebrauchswert", den der Arbeiter dem Kapitalisten liefert, in der Tat nicht seine Arbeitskraft, sondern ihre Funktion, eine bestimmte nützliche Arbeit, Schneiderarbeit, Schusterarbeit, Spinnarbeit usw. Daß dieselbe Arbeit nach einer andren Seite hin allgemeines wertbildendes Element ist, eine Eigenschaft, wodurch sie sich von allen andren Waren unterscheidet, fällt außerhalb des Bereichs des gewöhnlichen Bewußtseins.	ch19_clean.en-ch19_clean.de
Let us put ourselves in the place of the worker who receives for 12 hours of labour the value-product of, say, 6 hours of labour, namely 2 shillings. For him, in fact, his 12 hours of labour is the means of buying the 3 shillings.	Stellen wir uns auf den Standpunkt des Arbeiters, der für zwölfstündige Arbeit z.B. das Wertprodukt sechsstündiger Arbeit erhält, sage 3 sh., so ist für ihn in der Tat seine zwölfstündige Arbeit das Kaufmittel der 3 sh.	ch19_clean.en-ch19_clean.de
The value of his labour-power may vary, with the value of his usual means of subsistence, from 3 to 4 shillings, or from 3 to 2 shillings; or, if the value of labour-power remains constant, its price may rise to 4 shillings or fall to 2 shillings as a result of changes in the relation of demand and supply.	Der Wert seiner Arbeitskraft mag variieren mit dem Wert seiner gewohnheitsmäßigen Lebensmittel von 3 auf 4 sh. oder von 3 auf 2 sh., oder bei gleichbleibendem Wert seiner Arbeitskraft mag ihr Preis, infolge wechselnden Verhältnisses von Nachfrage und Angebot, auf 4 sh. steigen oder auf 2 sh. fallen, er gibt stets 12 Arbeitsstunden.	ch19_clean.en-ch19_clean.de
He always gives 12 hours of labour. Every change in the amount of the equivalent that he receives therefore necessarily appears to him as a change in the value or price of his 12 hours of labour.	Jeder Wechsel in der Größe des Äquivalents, das er erhält, erscheint ihm daher notwendig als Wechsel im Wert oder Preis seiner 12 Arbeitsstunden.	ch19_clean.en-ch19_clean.de
This circumstance misled Adam Smith, who treated the working day as a constant quantity, into the opposite assertion that the value of labour is constant, although the value of the means of subsistence may vary, and the same working day, therefore, may represent more or less money for the worker.	Dieser Umstand verleitete umgekehrt Adam Smith, der den Arbeitstag als eine konstante Größe behandelt , zur Behauptung, der Wert der Arbeit sei konstant, obgleich der Wert der Lebensmittel wechsle und derselbe Arbeitstag sich daher in mehr oder weniger Geld für den Arbeiter darstelle.	ch19_clean.en-ch19_clean.de
Let us consider, on the other hand, the capitalist. He wishes to receive as much labour as possible for as little money as possible.	Nehmen wir andrerseits den Kapitalisten, so will er zwar möglichst viel Arbeit für möglichst wenig Geld erhalten.	ch19_clean.en-ch19_clean.de
In practice, therefore, the only thing that interests him is the difference between the price of labour-power and the value which its function creates.	Praktisch interessiert ihn daher nur die Differenz zwischen dem Preis der Arbeitskraft und dem Wert, den ihre Funktion schafft.	ch19_clean.en-ch19_clean.de
But he tries to buy all commodities as cheaply as possible, and his own invariable explanation of his profit is that it is a result of mere sharp practice, of buying under the value and selling over it.	Aber er sucht alle Ware möglichst wohlfeil zu kaufen und erklärt sich überall seinen Profit aus der einfachen Prellerei, dem Kauf unter und dem Verkauf über dem Wert.	ch19_clean.en-ch19_clean.de
