Chapter 25: The General Law of Capitalist Accumulation 1.	DREIUNDZWANZIGSTES KAPITEL. TEIL I.	ch25_clean.en-ch25_clean.de
A GROWING DEMAND FOR LABOUR-POWER ACCOMPANIES ACCUMULATION IF THE COMPOSITION OF CAPITAL REMAINS THE SAME In this chapter we shall consider the influence of the growth of capital on the fate of the working class.	(ABSCHNITT 1 bis 4) Das allgemeine Gesetz der kapitalistischen Akkumulation 1. Wachsende Nachfrage nach Arbeitskraft mit der Akkumulation, bei gleichbleibender Zusammensetzung des Kapitals Wir behandeln in diesem Kapitel den Einfluß, den das Wachstum des Kapitals auf das Geschick der Arbeiterklasse ausübt.	ch25_clean.en-ch25_clean.de
The most important factor in this investigation is the composition of capital, and the changes it undergoes in the course of the process of accumulation.	Der wichtigste Faktor bei dieser Untersuchung ist die Zusammensetzung des Kapitals und die Veränderungen, die sie im Verlauf des Akkumulationsprozesses durchmacht.	ch25_clean.en-ch25_clean.de
The composition of capital is to be understood in a twofold sense.	Die Zusammensetzung des Kapitals ist in zweifachem Sinn zu fassen.	ch25_clean.en-ch25_clean.de
As value, it is determined by the proportion in which it is divided into constant capital, or the value of the means of production, and variable capital, or the value of labour-power, the sum total of wages.	Nach der Seite des Werts bestimmt sie sich durch das Verhältnis, worin es sich teilt in konstantes Kapital oder Wert der Produktionsmittel und variables Kapital oder Wert der Arbeitskraft, Gesamtsumme der Arbeitslöhne.	ch25_clean.en-ch25_clean.de
As material, as it functions in the process of production, all capital is divided into means of production and living labour-power. This latter composition is determined by the relation between the mass of the means of production employed on the one hand, and the mass of labour necessary for their employment on the other.	Nach der Seite des Stoffs, wie er im Produktionsprozeß fungiert, teilt sich jedes Kapital in Produktionsmittel und lebendige Arbeitskraft; diese Zusammensetzung bestimmt sich durch das Verhältnis zwischen der Masse der angewandten Produktionsmittel einerseits und der zu ihrer Anwendung erforderlichen Arbeitsmenge andrerseits.	ch25_clean.en-ch25_clean.de
I call the former the value-composition, the latter the technical composition of capital.	Ich nenne die erstere die Wertzusammensetzung, die zweite die technische Zusammensetzung des Kapitals.	ch25_clean.en-ch25_clean.de
There is a close correlation between the two.	Zwischen beiden besteht enge Wechselbeziehung.	ch25_clean.en-ch25_clean.de
To express this, I call the value-composition of capital, in so far as it is determined by its technical composition and mirrors the changes in the latter, the organic composition of capital.	Um diese auszudrücken, nenne ich die Wertzusammensetzung des Kapitals, insofern sie durch seine technische Zusammensetzung bestimmt wird und deren Änderungen widerspiegelt: die organische Zusammensetzung des Kapitals.	ch25_clean.en-ch25_clean.de
Wherever I refer to the composition of capital, without further qualification, its organic composition is always understood.	Wo von der Zusammensetzung des Kapitals kurzweg die Rede ist, ist stets seine organische Zusammensetzung zu verstehn.	ch25_clean.en-ch25_clean.de
The many individual capitals invested in a particular branch of production have compositions which differ from each other to a greater or lesser extent.	Die zahlreichen in einem bestimmten Produktionszweig angelegten Einzelkapitale haben unter sich mehr oder weniger verschiedne Zusammensetzung.	ch25_clean.en-ch25_clean.de
The average of their individual compositions gives us the composition of the total capital in the branch of production under consideration.	Der Durchschnitt ihrer Einzelzusammensetzungen ergibt uns die Zusammensetzung des Gesamtkapitals dieses Produktionszweigs.	ch25_clean.en-ch25_clean.de
Finally, the average of all the average compositions in all branches of production gives us the composition of the total social capital of a country, and it is with this alone that we are concerned here in the final analysis.	Endlich ergibt uns der Gesamtdurchschnitt der Durchschnittszusammensetzungen sämtlicher Produktionszweige die Zusammensetzung des gesellschaftlichen Kapitals eines Landes, und von dieser allein in letzter Instanz ist im folgenden die Rede.	ch25_clean.en-ch25_clean.de
Growth of capital implies growth of its variable constituent, in other words, the part invested in labour-power.	Wachstum des Kapitals schließt Wachstum seines variablen oder in Arbeitskraft umgesetzten Bestandteils ein.	ch25_clean.en-ch25_clean.de
A part of the surplus-value which has been transformed into additional capital must always be re-transformed into variable capital, or additional labour fund.	Ein Teil des in Zusatzkapital verwandelten Mehrwerts muß stets rückverwandelt werden in variables Kapital oder zuschüssigen Arbeitsfonds.	ch25_clean.en-ch25_clean.de
If we assume that, while all other circumstances remain the same, the composition of capital also remains constant (i.e. a definite mass of the means of production continues to need the same mass of labour-power to set it in motion), then the demand for labour, and the fund for the subsistence of the workers, both clearly increase in the same proportion as the capital, and with the same rapidity.	Unterstellen wir, daß, nebst sonst gleichbleibenden Umständen, die Zusammensetzung des Kapitals unverändert bleibt, d.h. eine bestimmte Masse Produktionsmittel oder konstantes Kapital stets dieselbe Masse Arbeitskraft erheischt, um in Bewegung gesetzt zu werden, so wächst offenbar die Nachfrage nach Arbeit und der Subsistenzfonds der Arbeiter verhältnismäßig mit dem Kapital und um so rascher, je rascher das Kapital wächst.	ch25_clean.en-ch25_clean.de
Since the capital produces a surplus-value every year, of which one part is added every year to the original capital; since this increment itself grows every year along with the augmentation of the capital already functioning; and since, lastly, under conditions especially liable to stimulate the drive for self-enrichment, such as the opening of new markets, or of new spheres for the outlay of capital resulting from newly developed social requirements, the scale of accumulation may suddenly be extended merely by a change in the proportion in which the surplus-value or the surplus product is divided into capital and revenue – for all these reasons the requirements of accumulating capital may exceed the growth in labour-power or in the number of workers; the demand for workers may outstrip the supply, and thus wages may rise.	Da das Kapital jährlich einen Mehrwert produziert, wovon ein Teil jährlich zum Originalkapital geschlagen wird, da dies Inkrement selbst jährlich wächst mit dem zunehmenden Umfang des bereits in Funktion begriffenen Kapitals und da endlich, unter besondrem Sporn des Bereicherungstriebs, wie z.B. Öffnung neuer Märkte, neuer Sphären der Kapitalanlage infolge neu entwickelter gesellschaftlicher Bedürfnisse usw., die Stufenleiter der Akkumulation plötzlich ausdehnbar ist durch bloß veränderte Teilung des Mehrwerts oder Mehrprodukts in Kapital und Revenue, können die Akkumulationsbedürfnisse des Kapitals das Wachstum der Arbeitskraft oder der Arbeiteranzahl, die Nachfrage nach Arbeitern ihre Zufuhr überflügeln und daher die Arbeitslöhne steigen.	ch25_clean.en-ch25_clean.de
This must indeed ultimately be the case if the conditions assumed above continue to prevail.	Dies muß sogar schließlich der Fall sein bei unveränderter Fortdauer obiger Voraussetzung.	ch25_clean.en-ch25_clean.de
For since in each year more workers are employed than in the preceding year, sooner or later a point must be reached at which the requirements of accumulation begin to outgrow the customary supply of labour, and a rise of wages therefore takes place.	Da in jedem Jahr mehr Arbeiter beschäftigt werden als im vorhergehenden, so muß früher oder später der Punkt eintreten, wo die Bedürfnisse der Akkumulation anfangen, über die gewöhnliche Zufuhr von Arbeit hinauszuwachsen, wo also Lohnsteigerung eintritt.	ch25_clean.en-ch25_clean.de
Complaints were to be heard about this in England during the whole of the fifteenth century, and the first half of the eighteenth.	Klage hierüber ertönt in England während des ganzen fünfzehnten und der ersten Hälfte des achtzehnten Jahrhunderts.	ch25_clean.en-ch25_clean.de
The more or less favourable circumstances in which the wage-labourers support and multiply themselves in no way alter the fundamental character of capitalist production.	Die mehr oder minder günstigen Umstände, worin sich die Lohnarbeiter erhalten und vermehren, ändern jedoch nichts am Grundcharakter der kapitalistischen Produktion.	ch25_clean.en-ch25_clean.de
As simple reproduction constantly reproduces the capital-relation itself, i.e. the presence of capitalists on the one side, and wage-labourers on the other side, so reproduction on an expanded scale, i.e. accumulation, reproduces the capital-relation on an expanded scale, with more capitalists, or bigger capitalists, at one pole, and more wage-labourers at the other pole.	Wie die einfache Reproduktion fortwährend das Kapitalverhältnis selbst reproduziert, Kapitalisten auf der einen Seite, Lohnarbeiter auf der andren, so reproduziert die Reproduktion auf erweiterter Stufenleiter oder die Akkumulation das Kapitalverhältnis auf erweiterter Stufenleiter, mehr Kapitalisten oder größere Kapitalisten auf diesem Pol, mehr Lohnarbeiter auf jenem.	ch25_clean.en-ch25_clean.de
The reproduction of labour-power which must incessantly be re-incorporated into capital as its means of valorization, which cannot get free of capital, and whose enslavement to capital is only concealed by the variety of individual capitalists to whom it sells itself, forms, in fact, a factor in the reproduction of capital itself.	Die Reproduktion der Arbeitskraft, die sich dem Kapital unaufhörlich als Verwertungsmittel einverleiben muß, nicht von ihm loskommen kann und deren Hörigkeit zum Kapital nur versteckt wird durch den Wechsel der individuellen Kapitalisten, woran sie sich verkauft, bildet in der Tat ein Moment der Reproduktion des Kapitals selbst.	ch25_clean.en-ch25_clean.de
Accumulation of capital is therefore multiplication of the proletariat.	Akkumulation des Kapitals ist also Vermehrung des Proletariats.	ch25_clean.en-ch25_clean.de
Classical political economy grasped this fact so thoroughly that Adam Smith, Ricardo, etc., as mentioned earlier, inaccurately identified accumulation with the consumption, by productive workers, of the whole of the capitalized part of the surplus product, or with the transformation of the surplus product into additional wage-labourers.	Die klassische Ökonomie begriff diesen Satz so wohl, daß A. Smith, Ricardo usw., wie früher erwähnt, die Akkumulation sogar fälschlich identifizieren mit Konsum des ganzen kapitalisierten Teils des Mehrprodukts durch produktive Arbeiter oder mit seiner Verwandlung in zuschüssige Lohnarbeiter.	ch25_clean.en-ch25_clean.de
John Béliers was already saying this in 1696: ‘For if one had a hundred thousand acres of land and as many pounds in money, and as many cattle, without a labourer, what would the rich man be, but a labourer?	Schon 1696 sagt John Bellers: "Wenn jemand 100.000 Acres hätte und ebenso viele Pfunde Geld und ebensoviel Vieh, was wäre der reiche Mann ohne den Arbeiter außer selbst ein Arbeiter?	ch25_clean.en-ch25_clean.de
And as the labourers make men rich, so the more labourers there will be, the more rich men… the labour of the poor being the mines of the rich.’	Und wie die Arbeiter Leute reich machen, so desto mehr Arbeiter, desto mehr Reiche ... Die Arbeit des Armen ist die Mine des Reichen."	ch25_clean.en-ch25_clean.de
So also Bernard de Mandeville at the beginning of the eighteenth century: ‘It would be easier, where property is well secured, to live without money than without poor; for who would do the work?… As they [the poor] ought to be kept from starving, so they should receive nothing worth saving.	So Bernard de Mandeville im Anfang des 18. Jahrhunderts: "Wo das Eigentum hinreichend geschützt ist, wäre es leichter, ohne Geld zu leben als ohne Arme, denn wer würde die Arbeit tun?... Wie die Arbeiter vor Aushungerung zu bewahren sind, so sollten sie nichts erhalten, was der Ersparung wert ist.	ch25_clean.en-ch25_clean.de
