Chapter 28: Bloody Legislation against the Expropriated since the End of the Fifteenth Century.	3. Blutgesetzgebung gegen die Expropriierten seit Ende des 15. Jahrhunderts.	ch28_clean.en-ch28_clean.de
The Forcing Down of Wages by Act of Parliament The proletariat created by the breaking-up of the bands of feudal retainers and by the forcible expropriation of the people from the soil, this free and rightless* proletariat could not possibly be absorbed by the nascent manufactures as fast as it was thrown upon the world.	Gesetze zur Herabdrückung des Arbeitslohns Die durch Auflösung der feudalen Gefolgschaften und durch stoßweise, gewaltsame Expropriation von Grund und Boden Verjagten, dies vogelfreie Proletariat konnte unmöglich ebenso rasch von der aufkommenden Manufaktur absorbiert werden, als es auf die Welt gesetzt ward.	ch28_clean.en-ch28_clean.de
On the other hand, these men, suddenly dragged from their accustomed mode of life, could not immediately adapt themselves to the discipline of their new condition.	Andrer- seits konnten die plötzlich aus ihrer gewohnten Lebensbahn Herausgeschleuderten sich nicht ebenso plötzlich in die Disziplin des neuen Zustandes finden.	ch28_clean.en-ch28_clean.de
They were turned in massive quantities into beggars, robbers and vagabonds, partly from inclination, in most cases under the force of circumstances.	Sie verwandelten sich massenhaft in Bettler, Räuber, Vagabunden, zum Teil aus Neigung, in den meisten Fällen durch den Zwang der Umstände.	ch28_clean.en-ch28_clean.de
Hence at the end of the fifteenth and during the whole of the sixteenth centuries, a bloody legislation against vagabondage was enforced throughout Western Europe.	Ende des 15. und während des ganzen 16. Jahrhunderts daher in ganz Westeuropa eine Blutgesetzgebung wider Vagabundage.	ch28_clean.en-ch28_clean.de
The fathers of the present working class were chastised for their enforced transformation into vagabonds and paupers.	Die Väter der jetzigen Arbeiterklasse wurden zunächst gezüchtigt für die ihnen angetane Verwandlung in Vagabunden und Paupers.	ch28_clean.en-ch28_clean.de
Legislation treated them as ‘voluntary’ criminals, and assumed that it was entirely within their powers to go on working under the old conditions which in fact no longer existed.	Die Gesetzgebung behandelte sie als "freiwillige" Verbrecher und unterstellte, daß es von ihrem guten Willen abhänge, in den nicht mehr existierenden alten Verhältnissen fortzuarbeiten.	ch28_clean.en-ch28_clean.de
In England this legislation began under Henry VII. Henry VIII, 1530: Beggars who are old and incapable of working receive a beggar’s licence.	In England begann jene Gesetzgebung unter Heinrich VII. Heinrich VIII., 1530: Alte und arbeitsunfähige Bettler erhalten eine Bettellizenz.	ch28_clean.en-ch28_clean.de
On the other hand, whipping and imprisonment for sturdy vagabonds.	Dagegen Auspeitschung und Einsperrung für handfeste Vagabunden.	ch28_clean.en-ch28_clean.de
They are to be tied to the cart-tail and whipped until the blood streams from their bodies, then they are to swear on oath to go back to their birthplace or to where they have lived the last three years and to ‘put themselves to labour’.	Sie sollen an einen Karren hinten angebunden und gegeißelt werden, bis das Blut von ihrem Körper strömt, dann einen Eid schwören, zu ihrem Geburtsplatz oder dorthin, wo sie die letzten drei Jahre gewohnt, zurückzukehren und "sich an die Arbeit zu setzen" (to put himself to labour).	ch28_clean.en-ch28_clean.de
What grim irony! By 27 Henry VIII [c. 25] the previous statute is repeated, but strengthened with new clauses.	Welche grausame Ironie! 27 Heinrich VIII. <D.h. Gesetz aus dem 27. Regierungsjahr Heinrichs VIII. Die bei den folgenden Angaben an zweiter Stelle gegebenen Ziffern sind die Nummern der in dem betreffenden Regierungsjahr erlassenen Gesetze> wird das vorige Statut wiederholt, aber durch neue Zusätze verschärft.	ch28_clean.en-ch28_clean.de
For the second arrest for vagabondage the whipping is to be repeated and half the ear sliced off; but for the third relapse the offender is to be executed as a hardened criminal and enemy of the common weal.	Bei zweiter Ertappung auf Vagabundage soll die Auspeitschung wiederholt und das halbe Ohr abgeschnitten, bei drittem Rückfall aber der Betroffne als schwerer Verbrecher und Feind des Gemeinwesens hingerichtet werden.	ch28_clean.en-ch28_clean.de
Edward VI: A statute of the first year of his reign, 1547,* ordains that if anyone refuses to work, he shall be condemned as a slave to the person who has denounced him as an idler.	Edward VI. : Ein Statut aus seinem ersten Regierungsjahr, 1547, verordnet, daß, wenn jemand zu arbeiten weigert, soll er als Sklave der Person zugeurteilt werden, die ihn als Müßiggänger denunziert hat.	ch28_clean.en-ch28_clean.de
The master shall feed his slave on bread and water, weak broth and such refuse meat as he thinks fit.	Der Meister soll seinen Sklaven mit Brot und Wasser nähren, schwachem Getränk und solchen Fleischabfällen, wie ihm passend dünkt.	ch28_clean.en-ch28_clean.de
He has the right to force him to do any work, no matter how disgusting, with whip and chains.	Er hat das Recht, ihn zu jeder auch noch so eklen Arbeit durch Auspeitschung und Ankettung zu treiben.	ch28_clean.en-ch28_clean.de
If the slave is absent for a fortnight, he is condemned to slavery for life and is to be branded on forehead or back with the letter S; if he runs away three times, he is to be executed as a felon.	Wenn sich der Sklave für 14 Tage entfernt, ist er zur Sklaverei auf Lebenszeit verurteilt und soll auf Stirn oder Backen mit dem Buchstaben S gebrandmarkt, wenn er zum drittenmal fortläuft, als Staatsverräter hingerichtet werden.	ch28_clean.en-ch28_clean.de
The master can sell him, bequeath him, let him out on hire as a slave, just as he can any other personal chattel or cattle.	Der Meister kann ihn verkaufen, vermachen, als Sklaven ausdingen, ganz wie andres bewegliches Gut und Vieh.	ch28_clean.en-ch28_clean.de
If the slaves attempt anything against the masters, they are also to be executed.	Unternehmen die Sklaven etwas gegen die Herrschaft, so sollen sie ebenfalls hingerichtet werden.	ch28_clean.en-ch28_clean.de
Justices of the peace, on information, are to hunt the rascals down.	Friedensrichter sollen auf Information den Kerls nachspüren.	ch28_clean.en-ch28_clean.de
If it happens that a vagabond has been idling about for three days, he is to be taken to his birthplace, branded with a red hot iron with the letter V on the breast, and set to work, in chains, on the roads or at some other labour.	Findet sich, daß ein Herumstreicher drei Tage gelungert hat, so soll er nach seinem Geburtsort gebracht, mit rotglühendem Eisen auf die Brust mit dem Zeichen V gebrandmarkt, und dort in Ketten auf der Straße oder zu sonstigen Diensten verwandt werden.	ch28_clean.en-ch28_clean.de
