0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
1,A GROWING DEMAND FOR LABOUR-POWER ACCOMPANIES ACCUMULATION IF THE COMPOSITION OF CAPITAL REMAINS THE SAME In this chapter we shall consider the influence of the growth of capital on the fate of the working class.,"(ABSCHNITT 1 bis 4) Das allgemeine Gesetz der kapitalistischen Akkumulation 1. Wachsende Nachfrage nach Arbeitskraft mit der Akkumulation, bei gleichbleibender Zusammensetzung des Kapitals Wir behandeln in diesem Kapitel den Einfluß, den das Wachstum des Kapitals auf das Geschick der Arbeiterklasse ausübt.",2.922614278390284
2,"The most important factor in this investigation is the composition of capital, and the changes it undergoes in the course of the process of accumulation.","Der wichtigste Faktor bei dieser Untersuchung ist die Zusammensetzung des Kapitals und die Veränderungen, die sie im Verlauf des Akkumulationsprozesses durchmacht.",2.293099969167443
3,The composition of capital is to be understood in a twofold sense.,Die Zusammensetzung des Kapitals ist in zweifachem Sinn zu fassen.,2.550184902058456
4,"As value, it is determined by the proportion in which it is divided into constant capital, or the value of the means of production, and variable capital, or the value of labour-power, the sum total of wages.","Nach der Seite des Werts bestimmt sie sich durch das Verhältnis, worin es sich teilt in konstantes Kapital oder Wert der Produktionsmittel und variables Kapital oder Wert der Arbeitskraft, Gesamtsumme der Arbeitslöhne.",2.7462237095931186
5,"As material, as it functions in the process of production, all capital is divided into means of production and living labour-power. This latter composition is determined by the relation between the mass of the means of production employed on the one hand, and the mass of labour necessary for their employment on the other.","Nach der Seite des Stoffs, wie er im Produktionsprozeß fungiert, teilt sich jedes Kapital in Produktionsmittel und lebendige Arbeitskraft; diese Zusammensetzung bestimmt sich durch das Verhältnis zwischen der Masse der angewandten Produktionsmittel einerseits und der zu ihrer Anwendung erforderlichen Arbeitsmenge andrerseits.",2.9239370013838797
6,"I call the former the value-composition, the latter the technical composition of capital.","Ich nenne die erstere die Wertzusammensetzung, die zweite die technische Zusammensetzung des Kapitals.",2.305467859136873
7,There is a close correlation between the two.,Zwischen beiden besteht enge Wechselbeziehung.,3.0282658871128083
8,"To express this, I call the value-composition of capital, in so far as it is determined by its technical composition and mirrors the changes in the latter, the organic composition of capital.","Um diese auszudrücken, nenne ich die Wertzusammensetzung des Kapitals, insofern sie durch seine technische Zusammensetzung bestimmt wird und deren Änderungen widerspiegelt: die organische Zusammensetzung des Kapitals.",2.54762088357236
9,"Wherever I refer to the composition of capital, without further qualification, its organic composition is always understood.","Wo von der Zusammensetzung des Kapitals kurzweg die Rede ist, ist stets seine organische Zusammensetzung zu verstehn.",2.7026932290026746
10,The many individual capitals invested in a particular branch of production have compositions which differ from each other to a greater or lesser extent.,Die zahlreichen in einem bestimmten Produktionszweig angelegten Einzelkapitale haben unter sich mehr oder weniger verschiedne Zusammensetzung.,3.1534266421327053
11,The average of their individual compositions gives us the composition of the total capital in the branch of production under consideration.,Der Durchschnitt ihrer Einzelzusammensetzungen ergibt uns die Zusammensetzung des Gesamtkapitals dieses Produktionszweigs.,2.8530418769190278
12,"Finally, the average of all the average compositions in all branches of production gives us the composition of the total social capital of a country, and it is with this alone that we are concerned here in the final analysis.","Endlich ergibt uns der Gesamtdurchschnitt der Durchschnittszusammensetzungen sämtlicher Produktionszweige die Zusammensetzung des gesellschaftlichen Kapitals eines Landes, und von dieser allein in letzter Instanz ist im folgenden die Rede.",2.643360166464956
13,"Growth of capital implies growth of its variable constituent, in other words, the part invested in labour-power.",Wachstum des Kapitals schließt Wachstum seines variablen oder in Arbeitskraft umgesetzten Bestandteils ein.,3.348553277981848
14,"A part of the surplus-value which has been transformed into additional capital must always be re-transformed into variable capital, or additional labour fund.",Ein Teil des in Zusatzkapital verwandelten Mehrwerts muß stets rückverwandelt werden in variables Kapital oder zuschüssigen Arbeitsfonds.,3.0551257202077355
15,"If we assume that, while all other circumstances remain the same, the composition of capital also remains constant (i.e. a definite mass of the means of production continues to need the same mass of labour-power to set it in motion), then the demand for labour, and the fund for the subsistence of the workers, both clearly increase in the same proportion as the capital, and with the same rapidity.","Unterstellen wir, daß, nebst sonst gleichbleibenden Umständen, die Zusammensetzung des Kapitals unverändert bleibt, d.h. eine bestimmte Masse Produktionsmittel oder konstantes Kapital stets dieselbe Masse Arbeitskraft erheischt, um in Bewegung gesetzt zu werden, so wächst offenbar die Nachfrage nach Arbeit und der Subsistenzfonds der Arbeiter verhältnismäßig mit dem Kapital und um so rascher, je rascher das Kapital wächst.",2.976041450596032
16,"Since the capital produces a surplus-value every year, of which one part is added every year to the original capital; since this increment itself grows every year along with the augmentation of the capital already functioning; and since, lastly, under conditions especially liable to stimulate the drive for self-enrichment, such as the opening of new markets, or of new spheres for the outlay of capital resulting from newly developed social requirements, the scale of accumulation may suddenly be extended merely by a change in the proportion in which the surplus-value or the surplus product is divided into capital and revenue – for all these reasons the requirements of accumulating capital may exceed the growth in labour-power or in the number of workers; the demand for workers may outstrip the supply, and thus wages may rise.","Da das Kapital jährlich einen Mehrwert produziert, wovon ein Teil jährlich zum Originalkapital geschlagen wird, da dies Inkrement selbst jährlich wächst mit dem zunehmenden Umfang des bereits in Funktion begriffenen Kapitals und da endlich, unter besondrem Sporn des Bereicherungstriebs, wie z.B. Öffnung neuer Märkte, neuer Sphären der Kapitalanlage infolge neu entwickelter gesellschaftlicher Bedürfnisse usw., die Stufenleiter der Akkumulation plötzlich ausdehnbar ist durch bloß veränderte Teilung des Mehrwerts oder Mehrprodukts in Kapital und Revenue, können die Akkumulationsbedürfnisse des Kapitals das Wachstum der Arbeitskraft oder der Arbeiteranzahl, die Nachfrage nach Arbeitern ihre Zufuhr überflügeln und daher die Arbeitslöhne steigen.",2.8336801092088564
17,This must indeed ultimately be the case if the conditions assumed above continue to prevail.,Dies muß sogar schließlich der Fall sein bei unveränderter Fortdauer obiger Voraussetzung.,2.9742918222270656
18,"For since in each year more workers are employed than in the preceding year, sooner or later a point must be reached at which the requirements of accumulation begin to outgrow the customary supply of labour, and a rise of wages therefore takes place.","Da in jedem Jahr mehr Arbeiter beschäftigt werden als im vorhergehenden, so muß früher oder später der Punkt eintreten, wo die Bedürfnisse der Akkumulation anfangen, über die gewöhnliche Zufuhr von Arbeit hinauszuwachsen, wo also Lohnsteigerung eintritt.",2.715405060384766
19,"Complaints were to be heard about this in England during the whole of the fifteenth century, and the first half of the eighteenth.",Klage hierüber ertönt in England während des ganzen fünfzehnten und der ersten Hälfte des achtzehnten Jahrhunderts.,3.0354040786789405
20,The more or less favourable circumstances in which the wage-labourers support and multiply themselves in no way alter the fundamental character of capitalist production.,"Die mehr oder minder günstigen Umstände, worin sich die Lohnarbeiter erhalten und vermehren, ändern jedoch nichts am Grundcharakter der kapitalistischen Produktion.",2.5569372176691636
21,"As simple reproduction constantly reproduces the capital-relation itself, i.e. the presence of capitalists on the one side, and wage-labourers on the other side, so reproduction on an expanded scale, i.e. accumulation, reproduces the capital-relation on an expanded scale, with more capitalists, or bigger capitalists, at one pole, and more wage-labourers at the other pole.","Wie die einfache Reproduktion fortwährend das Kapitalverhältnis selbst reproduziert, Kapitalisten auf der einen Seite, Lohnarbeiter auf der andren, so reproduziert die Reproduktion auf erweiterter Stufenleiter oder die Akkumulation das Kapitalverhältnis auf erweiterter Stufenleiter, mehr Kapitalisten oder größere Kapitalisten auf diesem Pol, mehr Lohnarbeiter auf jenem.",3.3235527390781052
22,"The reproduction of labour-power which must incessantly be re-incorporated into capital as its means of valorization, which cannot get free of capital, and whose enslavement to capital is only concealed by the variety of individual capitalists to whom it sells itself, forms, in fact, a factor in the reproduction of capital itself.","Die Reproduktion der Arbeitskraft, die sich dem Kapital unaufhörlich als Verwertungsmittel einverleiben muß, nicht von ihm loskommen kann und deren Hörigkeit zum Kapital nur versteckt wird durch den Wechsel der individuellen Kapitalisten, woran sie sich verkauft, bildet in der Tat ein Moment der Reproduktion des Kapitals selbst.",2.8543088072006495
23,Accumulation of capital is therefore multiplication of the proletariat.,Akkumulation des Kapitals ist also Vermehrung des Proletariats.,3.5178806009601953
24,"Classical political economy grasped this fact so thoroughly that Adam Smith, Ricardo, etc., as mentioned earlier, inaccurately identified accumulation with the consumption, by productive workers, of the whole of the capitalized part of the surplus product, or with the transformation of the surplus product into additional wage-labourers.","Die klassische Ökonomie begriff diesen Satz so wohl, daß A. Smith, Ricardo usw., wie früher erwähnt, die Akkumulation sogar fälschlich identifizieren mit Konsum des ganzen kapitalisierten Teils des Mehrprodukts durch produktive Arbeiter oder mit seiner Verwandlung in zuschüssige Lohnarbeiter.",3.1885085347385043
25,"John Béliers was already saying this in 1696: ‘For if one had a hundred thousand acres of land and as many pounds in money, and as many cattle, without a labourer, what would the rich man be, but a labourer?","Schon 1696 sagt John Bellers: ""Wenn jemand 100.000 Acres hätte und ebenso viele Pfunde Geld und ebensoviel Vieh, was wäre der reiche Mann ohne den Arbeiter außer selbst ein Arbeiter?",2.7262592511765553
26,"And as the labourers make men rich, so the more labourers there will be, the more rich men… the labour of the poor being the mines of the rich.’","Und wie die Arbeiter Leute reich machen, so desto mehr Arbeiter, desto mehr Reiche ... Die Arbeit des Armen ist die Mine des Reichen.""",2.819627745221794
27,"So also Bernard de Mandeville at the beginning of the eighteenth century: ‘It would be easier, where property is well secured, to live without money than without poor; for who would do the work?… As they [the poor] ought to be kept from starving, so they should receive nothing worth saving.","So Bernard de Mandeville im Anfang des 18. Jahrhunderts: ""Wo das Eigentum hinreichend geschützt ist, wäre es leichter, ohne Geld zu leben als ohne Arme, denn wer würde die Arbeit tun?... Wie die Arbeiter vor Aushungerung zu bewahren sind, so sollten sie nichts erhalten, was der Ersparung wert ist.",2.315823157494441
28,"If here and there one of the lowest class, by uncommon industry, and pinching his belly, lifts himself above the condition he was brought up in, nobody ought to hinder him; nay, it is undeniably the wisest course for every person in the society, and for every private family to be frugal; but it is the interest of all rich nations, that the greatest part of the poor should almost never be idle, and yet continually spend what they get… Those that get their living by their daily labour… have nothing to stir them up to be serviceable but their wants which it is prudence to relieve, but folly to cure.","Wenn hier und da einer aus der untersten Klasse durch ungewöhnlichen Fleiß und Bauchkneipen sich über die Lage erhebt, worin er aufgewachsen war, so muß ihn keiner daran hin- dern: ja es ist unleugbar der weiseste Plan für jede Privatperson, für jede Privatfamilie in der Gesellschaft, frugal zu sein; aber es ist das Interesse aller reichen Nationen, daß der größte Teil der Armen nie untätig sei und sie dennoch stets verausgaben, was sie einnehmen ... Diejenigen, die ihr Leben durch ihre tägliche Arbeit gewinnen, haben nichts, was sie anstachelt, dienstlich zu sein außer ihren Bedürfnissen, welche es Klugheit ist zu lindern, aber Narrheit wäre zu kurieren. Das einzige Ding, das den arbeitenden Mann fleißig machen kann, ist ein mäßiger Arbeitslohn.",2.754609542189455
29,"The only thing then that can render the labouring man industrious, is a moderate quantity of money, for as too little will, according as his temper is, either dispirit or make him desperate, so too much will make him insolent and lazy… From what has been said, it is manifest, that, in a free nation, where slaves are not allowed of, the surest wealth consists in a multitude of laborious poor; for besides that they are the never failing nursery of fleets and armies, without them there could be no enjoyment, and no product of any country could be valuable.","Ein zu geringer macht ihn je nach seinem Temperament kleinmütig oder verzweifelt, ein zu großer insolent und faul ... Aus dem bisher Entwickelten folgt, daß in einer freien Nation, wo Sklaven nicht erlaubt sind, der sicherste Reichtum aus einer Menge arbeitsamer Armen besteht. Außerdem, daß sie die nie versagende Zufuhrquelle für Flotte und Armee, gäbe es ohne sie keinen Genuß und wäre das Produkt keines Landes verwertbar.",2.946339604673745
30,"To make the society’ (which of course consists of non-workers) ‘happy and people easier under the meanest circumstances, it is requisite that great numbers of them should be ignorant as well as poor; knowledge both enlarges and multiplies our desires, and the fewer things a man wishes for, the more easily his necessities may be supplied.’","Um die Gesellschaft"" (die natürlich aus den Nichtarbeitern besteht) ""glücklich und das Volk selbst in kümmerlichen Zuständen zufrieden zu machen, ist es nötig, daß die große Majorität sowohl unwissend als arm bleibt. Kenntnis erweitert und vervielfacht unsere Wünsche, und je weniger ein Mann wünscht, desto leichter können seine Bedürfnisse befriedigt werden.""",2.83789935009711
31,"What Mandeville, an honest man with a clear mind, had not yet grasped was the fact that the mechanism of the accumulation process itself not only increases the amount of capital but also the mass of the ‘labouring poor’, i.e. the wage-labourers, who turn their labour-power into a force for increasing the valorization of the growing capital, and who are thereby compelled to make their relation of dependence on their own product, as personified in the capitalist, into an eternal relation.","Was Mandeville, ein ehrlicher Mann und heller Kopf, noch nicht begreift, ist, daß der Mechanismus des Akkumulationsprozesses selbst mit dem Kapital die Masse der ""arbeitsamen Armen"" vermehrt, d.h. der Lohnarbeiter, die ihre Arbeitskraft in wachsende Verwertungskraft des wachsenden Kapitals verwandeln und ebendadurch ihr Abhängigkeitsverhältnis von ihrem eignen, im Kapitalisten personifzierten Produkt verewigen müssen.",3.0344609690389657
32,"In reference to this relation of dependence, Sir F. M. Eden remarks, in his The State of the Poor; or an History of the Labouring Classes in England,’ the natural produce of our soil is certainly not fully adequate to our subsistence; we can neither be clothed, lodged nor fed but in consequence of some previous labour.","Mit Bezug auf dies Abhängigkeitsverhältnis bemerkt Sir F. M. Eden in seiner ""Lage der Armen, oder Geschichte der arbeitenden Klasse Englands"": ""Unsere Zone erfordert Arbeit zur Befriedigung der Bedürfnisse, und deshalb muß wenigstens ein Teil der Gesellschaft unermüdet arbeiten ... Einige, die nicht arbeiten, haben dennoch die Produkte des Fleißes zu ihrer Verfügung.",3.013885847113365
33,"A portion at least of the society must be indefatigably employed… There are others who, though they “neither toil nor spin”, can yet command the produce of industry, but who owe their exemption from labour solely to civilization and order… They are peculiarly the creatures of civil institutions, which have recognized that individuals may acquire property by various other means besides the exertion of labour… Persons of independent fortune… owe their superior advantages by no means to any superior abilities of their own, but almost entirely… to the industry of others.","Das verdanken diese Eigentümer aber nur der Zivilisation und Ordnung; sie sind reine Kreaturen der bürgerlichen Institutionen. Denn diese haben es anerkannt, daß man die Früchte der Arbeit auch anders als durch Arbeit sich aneignen kann. Die Leute von unabhängigem Vermögen verdanken ihr Vermögen fast ganz der Arbeit andrer, nicht ihrer eignen Fähigkeit, die durchaus nicht besser ist als die der andren; es ist nicht der Besitz von Land und Geld, sondern das Kommando über Arbeit (the command of labour), das die Reichen von den Armen unterscheidet ...",2.9137385661753368
34,"It is not the possession of land, or of money, but the command of labour which distinguishes the opulent from the labouring part of the community… This [the scheme approved by Eden] would give the people of property sufficient influence and authority over those who… work for them; and it would place such labourers, not in an abject or servile condition, but in such a state of easy and liberal dependence as all who know human nature, and its history, will allow to be necessary for their own comfort.’","Was dem Armen zusagt, ist nicht eine verworfene oder servile Lage, sondern ein bequemes und liberales Abhängigkeitsverhältnis (a state of easy and liberal dependence), und für die Leute von Eigentum hinreichender Einfluß und Autorität über die, die für sie arbeiten ... Ein solches Abhängigkeitsverhältnis ist, wie jeder Kenner der menschlichen Natur weiß, notwendig für den Komfort der Arbeiter selbst. """,3.0436292140838663
35,"Sir F. M. Eden, it may be remarked in passing, was the only disciple of Adam Smith to have achieved anything of importance during the eighteenth century.","Sir F. M. Eden, beiläufig bemerkt, ist der einzige Schüler Adam Smiths, der während des achtzehnten Jahrhunderts etwas Bedeutendes geleistet hat .",3.39160043917696
36,"Under the conditions of accumulation we have assumed so far, conditions which are the most favourable to the workers, their relation of dependence on capital takes on forms which are endurable or, as Eden says, ‘easy and liberal’.","Unter den bisher unterstellten, den Arbeitern günstigsten Akkumulationsbedingungen kleidet sich ihr Abhängigkeitsverhältnis vom Kapital in erträgliche oder, wie Eden sagt, ""bequeme und liberale"" Formen.",3.411206817595644
37,"Instead of becoming more intensive with the growth of capital, this relation of dependence only becomes more extensive, i.e. the sphere of capital’s exploitation and domination merely extends with its own dimensions and the number of people subjected to it.","Statt intensiver zu werden mit dem Wachstum des Kapitals, wird es nur extensiver, d.h. die Exploitations- und Herrschaftssphäre des Kapitals dehnt sich nur aus mit seiner eigenen Dimension und der Anzahl seiner Untertanen.",2.794981080958584
38,"A larger part of the worker’s own surplus product, which is always increasing and is continually being transformed into additional capital, comes back to them in the shape of means of payment, so that they can extend the circle of their enjoyments, make additions to their consumption fund of clothes, furniture, etc., and lay by a small reserve fund of money.","Von ihrem eignen anschwellenden und schwellend in Zusatzkapital verwandelten Mehrprodukt strömt ihnen ein größerer Teil in der Form von Zahlungsmitteln zurück, so daß sie den Kreis ihrer Genüsse erweitern, ihren Konsumtionsfonds von Kleidern, Möbeln usw. besser ausstatten und kleine Reservefonds von Geld bilden können.",3.12233691447601
39,"But these things no more abolish the exploitation of the wage-labourer, and his situation of dependence, than do better clothing, food and treatment, and a larger peculium, in the case of the slave.","So wenig aber bessere Kleidung, Nahrung, Behandlung und ein größeres Peculium das Abhängigkeitsverhältnis und die Exploitation des Sklaven aufheben, so wenig die des Lohnarbeiters.",2.8431014645126225
40,"A rise in the price of labour, as a consequence of the accumulation of capital, only means in fact that the length and weight of the golden chain the wage-labourer has already forged for himself allow it to be loosened somewhat.","Steigender Preis der Arbeit infolge der Akkumulation des Kapitals besagt in der Tat nur, daß der Umfang und die Wucht der goldnen Kette, die der Lohnarbeiter sich selbst bereits geschmiedet hat, ihre losere Spannung erlauben.",2.721619364484488
41,"In the controversies on this question, the essential fact has generally been overlooked, namely the differentia specifica of capitalist production.","In den Kontroversen über diesen Gegen- stand hat man meist die Hauptsache übersehn, nämlich die differentia specifica <den kennzeichnenden Unterschied> der kapitalistischen Produktion.",2.708516819130167
42,"Labour-power is not purchased under this system for the purpose of satisfying the personal needs of the buyer, either by its service or through its product.","Arbeitskraft wird hier gekauft, nicht um durch ihren Dienst oder ihr Produkt die persönlichen Bedürfnisse des Käufers zu befriedigen.",2.743123967479433
43,"The aim of the buyer is the valorization of his capital, the production of commodities which contain more labour than he paid for, and therefore contain a portion of value which costs him nothing and is nevertheless realized [realisiert] through the sale of those commodities.","Sein Zweck ist Verwertung seines Kapitals, Produktion von Waren, die mehr Arbeit enthalten, als er zahlt, also einen Wertteil enthalten, der ihm nichts kostet und dennoch durch den Warenverkauf realisiert wird.",2.684527348659417
44,"The production of surplus-value, or the making of profits, is the absolute law of this mode of production.",Produktion von Mehrwert oder Plusmacherei ist das absolute Gesetz dieser Produktionsweise.,2.5465076253982617
45,"Labour-power can be sold only to the extent that it preserves and maintains the means of production as capital, reproduces its own value as capital, and provides a source of additional capital in the shape of unpaid labour.","Nur soweit sie die Produktionsmittel als Kapital erhält, ihren eignen Wert als Kapital reproduziert und in unbezahlter Arbeit eine Quelle von Zuschußkapital liefert, ist die Arbeitskraft verkaufbar.",2.967669912081892
46,"The conditions of its sale, whether more or less favourable to the worker, include therefore the necessity of its constant re-sale, and the constantly extended reproduction of wealth as capital.","Die Bedingungen ihres Verkaufs, ob mehr oder minder günstig für den Arbeiter, schließen also die Notwendigkeit ihres steten Wiederverkaufs und die stets erweiterte Reproduktion des Reichtums als Kapital ein.",2.703480507440245
47,"Wages, as we have seen, imply by their very nature that the worker will always provide a certain quantity of unpaid labour.","Der Arbeitslohn, wie man gesehn, bedingt seiner Natur nach stets Lieferung eines bestimmten Quantums unbezahlter Arbeit auf seiten des Arbeiters.",3.2620086965832717
48,"Even if we leave aside the case where a rise of wages is accompanied by a fall in the price of labour, it is clear that at the best of times an increase in wages means only a quantitative reduction in the amount of unpaid labour the worker has to supply.","Ganz abgesehn vom Steigen des Arbeitslohns mit sinkendem Preis der Arbeit usw., besagt seine Zunahme im besten Fall nur quantitative Abnahme der unbezahlten Arbeit, die der Arbeiter leisten muß.",2.998740923366627
49,This reduction can never go so far as to threaten the system itself.,"Diese Abnahme kann nie bis zum Punkt fortgehn, wo sie das System selbst bedrohen würde.",2.5044121641522943
50,"Apart from violent conflicts over the rate of wages (and Adam Smith already showed that in such a conflict the master, by and large, remained the master) a rise in the price of labour resulting from accumulation of capital implies the following alternatives: Either the price of labour keeps on rising, because its rise does not interfere with the progress of accumulation.","Abgesehn von gewaltsamen Konflikten über die Rate des Arbeitslohns, und Adam Smith hat bereits gezeigt, daß im großen und ganzen in solchem Konflikt der Meister stets Meister bleibt, unterstellt ein aus Akkumulation des Kapitals entspringendes Steigen des Arbeitspreises folgende Alternative.",3.039483368334139
51,"There is nothing remarkable in this, for as Adam Smith says, ‘after these’ (profits) ‘are diminished, stock may not only continue to increase, but to increase much faster than before… A great stock, though with small profits, generally increases faster than a small stock with great profits’ (op. cit., Vol.","Entweder fährt der Preis der Arbeit fort zu steigen, weil seine Erhöhung den Fortschritt der Akkumulation nicht stört; es liegt darin nichts Wunderbares, denn, sagt A. Smith, ""selbst bei gesunknem Profit vermehren sich die Kapitale dennoch; sie wachsen selbst rascher als vorher ... Ein großes Kapital wächst selbst bei kleinerem Profit im allgemeinen rascher als ein kleines Kapital bei großem Profit. (l.c.",3.1266002418525547
52,"1, p. 189).","I, p. 189.)",6.380326445098161
53,"In this case it is evident that a reduction in the amount of unpaid labour in no way interferes with the extension of the domain of capital. Or, the other alternative, accumulation slackens as a result of the rise in the price of labour, because the stimulus of gain is blunted.","In diesem Falle ist es augenscheinlich, daß eine Verminderung der unbezahlten Arbeit die Ausdehnung der Kapitalherrschaft keineswegs beeinträchtigt. - Oder, das ist die andre Seite der Alternative, die Akkumulation erschlafft infolge des steigenden Arbeitspreises, weil der Stachel des Gewinns abstumpft.",2.69018057724448
54,"The rate of accumulation lessens; but this means that the primary cause of that lessening itself vanishes, i.e. the disproportion between capital and exploitable labour-power.","Die Akkumulation nimmt ab. Aber mit ihrer Abnahme verschwindet die Ursache ihrer Abnahme, nämlich die Disproportion zwischen Kapital und exploitabler Arbeitskraft.",3.509477054811956
55,The mechanism of the capitalist production process removes the very obstacles it temporarily creates.,"Der Mechanismus des kapitalistischen Produktionsprozesses beseitigt also selbst die Hindernisse, die er vorübergehend schafft.",2.3396453066270686
56,"The price of labour falls again to a level corresponding with capital’s requirements for self-valorization, whether this level is below, the same as, or above that which was normal before the rise of wages took place.","Der Arbeitspreis fällt wieder auf ein den Verwertungsbedürfnissen des Kapitals entsprechendes Niveau, ob dieses nun unter, über oder gleich mit dem Niveau, welches vor Eintritt des Lohnzuwachses als normal galt.",2.69121113971737
57,"We see therefore that in the first case it was not the diminished rate, either of the absolute or of the proportional increase in labour-power, or the working population, which caused the excess quantity of capital, but rather the converse; the increase in capital made the exploitable labour-power insufficient.","Man sieht: Im ersten Fall ist es nicht die Abnahme im absoluten oder proportionellen Wachstum der Arbeitskraft oder Arbeiterbevölkerung, welche das Kapital überschüssig, sondern umgekehrt die Zunahme des Kapitals, welche die exploitable Arbeitskraft unzureichend macht.",2.685721307510659
58,"In the second case it was not the increased rate, either of the absolute or of the proportional increase in labour-power, or the working population, that made the capital insufficient, but rather the converse; the relative reduction in the amount of capital caused the exploitable labour-power, or rather its price, to be in excess.","Im zweiten Fall ist es nicht die Zunahme im absoluten oder proportionellen Wachstum der Arbeitskraft oder der Arbeiterbevölkerung, welche das Kapital unzureichend, sondern umgekehrt die Abnahme des Kapitals, welche die exploitable Arbeitskraft, oder vielmehr ihren Preis, überschüssig macht.",2.56297067946467
59,"It is these absolute movements of the accumulation of capital which are reflected as relative movements of the mass of exploitable labour-power, and therefore seem produced by the latter’s own independent movement.","Es sind diese absoluten Bewegungen in der Akkumulation des Kapitals, welche sich als relative Bewegungen in der Masse der exploitablen Arbeitskraft widerspiegeln und daher der eignen Bewegung der letztren geschuldet scheinen.",2.6820677218615243
60,"To put it mathematically: the rate of accumulation is the independent, not the dependent variable; the rate of wages is the dependent, not the independent variable.","Um mathematischen Ausdruck anzuwenden: die Größe der Akkumulation ist die unabhängige Variable, die Lohngröße die abhängige, nicht umgekehrt.",2.9841564959778046
