0,Chapter 28: Bloody Legislation against the Expropriated since the End of the Fifteenth Century.,3. Blutgesetzgebung gegen die Expropriierten seit Ende des 15. Jahrhunderts.,2.9662053754828546
1,"The Forcing Down of Wages by Act of Parliament The proletariat created by the breaking-up of the bands of feudal retainers and by the forcible expropriation of the people from the soil, this free and rightless* proletariat could not possibly be absorbed by the nascent manufactures as fast as it was thrown upon the world.","Gesetze zur Herabdrückung des Arbeitslohns Die durch Auflösung der feudalen Gefolgschaften und durch stoßweise, gewaltsame Expropriation von Grund und Boden Verjagten, dies vogelfreie Proletariat konnte unmöglich ebenso rasch von der aufkommenden Manufaktur absorbiert werden, als es auf die Welt gesetzt ward.",3.0704020747880323
2,"On the other hand, these men, suddenly dragged from their accustomed mode of life, could not immediately adapt themselves to the discipline of their new condition.",Andrer- seits konnten die plötzlich aus ihrer gewohnten Lebensbahn Herausgeschleuderten sich nicht ebenso plötzlich in die Disziplin des neuen Zustandes finden.,2.975580285127548
3,"They were turned in massive quantities into beggars, robbers and vagabonds, partly from inclination, in most cases under the force of circumstances.","Sie verwandelten sich massenhaft in Bettler, Räuber, Vagabunden, zum Teil aus Neigung, in den meisten Fällen durch den Zwang der Umstände.",3.2352160130260694
4,"Hence at the end of the fifteenth and during the whole of the sixteenth centuries, a bloody legislation against vagabondage was enforced throughout Western Europe.",Ende des 15. und während des ganzen 16. Jahrhunderts daher in ganz Westeuropa eine Blutgesetzgebung wider Vagabundage.,2.9243323644927917
5,The fathers of the present working class were chastised for their enforced transformation into vagabonds and paupers.,Die Väter der jetzigen Arbeiterklasse wurden zunächst gezüchtigt für die ihnen angetane Verwandlung in Vagabunden und Paupers.,2.7356685626227675
6,"Legislation treated them as ‘voluntary’ criminals, and assumed that it was entirely within their powers to go on working under the old conditions which in fact no longer existed.","Die Gesetzgebung behandelte sie als ""freiwillige"" Verbrecher und unterstellte, daß es von ihrem guten Willen abhänge, in den nicht mehr existierenden alten Verhältnissen fortzuarbeiten.",2.8126147025822466
7,"In England this legislation began under Henry VII. Henry VIII, 1530: Beggars who are old and incapable of working receive a beggar’s licence.","In England begann jene Gesetzgebung unter Heinrich VII. Heinrich VIII., 1530: Alte und arbeitsunfähige Bettler erhalten eine Bettellizenz.",3.524308475359167
8,"On the other hand, whipping and imprisonment for sturdy vagabonds.",Dagegen Auspeitschung und Einsperrung für handfeste Vagabunden.,3.6755304639673807
9,"They are to be tied to the cart-tail and whipped until the blood streams from their bodies, then they are to swear on oath to go back to their birthplace or to where they have lived the last three years and to ‘put themselves to labour’.","Sie sollen an einen Karren hinten angebunden und gegeißelt werden, bis das Blut von ihrem Körper strömt, dann einen Eid schwören, zu ihrem Geburtsplatz oder dorthin, wo sie die letzten drei Jahre gewohnt, zurückzukehren und ""sich an die Arbeit zu setzen"" (to put himself to labour).",3.127706824143389
10,"What grim irony! By 27 Henry VIII [c. 25] the previous statute is repeated, but strengthened with new clauses.","Welche grausame Ironie! 27 Heinrich VIII. <D.h. Gesetz aus dem 27. Regierungsjahr Heinrichs VIII. Die bei den folgenden Angaben an zweiter Stelle gegebenen Ziffern sind die Nummern der in dem betreffenden Regierungsjahr erlassenen Gesetze> wird das vorige Statut wiederholt, aber durch neue Zusätze verschärft.",3.5320909177200774
