0,Chapter 30: Impact of the Agricultural Revolution on Industry.,5. Rückwirkung der agrikolen Revolution auf die Industrie.,2.78351008239123
1,"The Creation of a Home Market for Industrial Capital The intermittent but constantly renewed expropriation and expulsion of the agricultural population supplied the urban industries, as we have seen, with a mass of proletarians standing entirely outside the corporate guilds and unfettered by them; a fortunate circumstance which makes old A. Anderson* (not to be confused with James Anderson) express a belief in the direct intervention of Providence, in his History of Commerce.","Herstellung des innern Markts für das industrielle Kapital Die stoßweise und stets erneuerte Expropriation und Verjagung des Landvolks lieferte, wie man sah, der städtischen Industrie wieder und wieder Massen ganz außerhalb der Zunftverhältnisse stehender Proletarier, ein weiser Umstand, der den alten A. Anderson (nicht zu verwechseln mit James Anderson) in seiner Handelsgeschichte an direkte Intervention der Vorsehung glauben läßt.",3.0903758397466103
2,We must still pause a moment on this element of primitive accumulation.,Wir müssen noch einen Augenblick bei diesem Element der ursprünglichen Akkumulation verweilen.,2.767305539093976
3,"The thinning-out of the independent self-supporting peasants corresponded directly with the concentration of the industrial proletariat, in the way that Geoffroy Saint-Hilaire explained the condensation of cosmic matter at one place by its rarefaction at another.","Der Verdünnung des unabhängigen, selbstwirtschaftenden Landvolks entsprach nicht nur die Verdichtung des industriellen Proletariats, wie Geoffroy Saint-Hilaire die Verdichtung der Weltmaterie hier durch ihre Verdünnung dort erklärt.",3.186769890831089
4,"But this was not the only consequence. In spite of the smaller number of its cultivators, the soil brought forth as much produce as before, or even more, because the revolution in property relations on the land was accompanied by improved methods of cultivation, greater co-operation, a higher concentration of the means of production and so on, and because the agricultural wage-labourers were made to work at a higher level of intensity, and the field of production on which they worked for themselves shrank more and more.","Trotz der verminderten Zahl seiner Bebauer trug der Boden nach wie vor gleich viel oder mehr Produkt, weil die Revolution in den Grundeigentumsverhältnissen von verbesserten Methoden der Kultur, größerer Kooperation, Konzentration der Produktionsmittel usw. begleitet war und weil die ländlichen Lohnarbeiter nicht nur intensiver angespannt wurden , sondern auch das Produktionsfeld, worauf sie für sich selbst arbeiteten, mehr und mehr zusammenschmolz.",2.4627839244047136
5,"With the ‘setting free’ of a part of the agricultural population, therefore, their former means of nourishment were also set free.",Mit dem freigesetzten Teil des Landvolks werden also auch seine frühern Nahrungsmittel freigesetzt.,3.2267051351086624
6,They were now transformed into material elements of variable capital.,Sie verwandeln sich jetzt in stoffliches Element des variablen Kapitals.,3.003247622909549
7,"The peasant, expropriated and cast adrift, had to obtain the value of the means of subsistence from his new lord, the industrial capitalist, in the form of wages.","Der an die Luft gesetzte Bauer muß ihren Wert von seinem neuen Herrn, dem industriellen Kapitalisten, in der Form des Arbeitslohns erkaufen.",3.26920358087029
8,And the same thing happened to those raw materials of industry which depended on indigenous agriculture.,Wie mit den Lebensmitteln verhielt es sich mit dem heimischen agrikolen Rohmaterial der Industrie.,3.1678219707077258
9,They were transformed into an element of constant capital.,Es verwandelte sich in ein Element des konstanten Kapitals.,3.1506899815506606
10,"Suppose, for example, that one part of the Westphalian peasantry, who, at the time of Frederick II, all span flax, are forcibly expropriated and driven from the soil; and suppose that the other part, who remain behind, are turned into the day-labourers of large-scale farmers.","Man unterstelle z.B. einen Teil der westfälischen Bauern, die zu Friedrichs II. Zeit alle Flachs, wenn auch keine Seide spannen, gewaltsam expropriiert und von Grund und Boden verjagt, den andren zurückbleibenden Teil aber in Taglöhner großer Pächter verwandelt.",3.0527818093060977
11,"At the same time, large establishments for flax-spinning and weaving arise, and in these the men who have been ‘set free’ now work for wages.","Gleichzeitig erheben sich große Flachsspinnereien und Webereien, worin die ""Freigesetzten"" nun lohnarbeiten.",3.2364141575354637
12,The flax looks exactly as it did before.,Der Flachs sieht grad aus wie vorher.,2.871808646074277
13,"Not a fibre of it is changed, but a new social soul has entered into its body.","Keine Fiber an ihm ist verändert, aber eine neue soziale Seele ist ihm in den Leib gefahren.",2.694405859188375
14,It now forms a part of the constant capital of the master manufacturer.,Er bildet jetzt einen Teil des konstanten Kapitals der Manufakturherrn.,2.808577319398343
15,"Formerly it was divided among a mass of small producers, who cultivated it themselves and span it with their families in small portions. Now it is concentrated in the hands of one capitalist, who sets others to spin and weave it for him.","Früher verteilt unter eine Unmasse kleiner Produzenten, die ihn selbst bauten und in kleinen Portionen mit ihren Familien verspannen, ist er jetzt konzentriert in der Hand eines Kapitalisten, der andre für sich spinnen und weben läßt.",2.714059185857896
